file_name,QuestionText,answer
buzzing bee 3 multi.wav,क्या कीड़े शोर कर रहे हैं?,हाँ
immersion in a bath and getting out of the bath.wav,क्या वे शेविंग कर रहे हैं?,नहीं
Chime.wav,क्या इको ध्वनि तरंगें पिच में भिन्न होती हैं?,हाँ
md10trk3.wav,क्या लोग बातचीत कर रहे हैं?,नहीं
easter morning birdsong.wav,क्या यह एक पक्षी की तरह लगता है?,हाँ
Shanghai Traffic Near Peoples Square.wav,क्या आवाजें हैं?,हाँ
Geese - Chatter 1 - 96kHz.wav,क्या घोड़े को सुना जा सकता है?,हाँ
sink3.wav,क्या लोग पृष्ठभूमि में चिल्ला रहे हैं?,हाँ
underWater001.wav,क्या यह पानी है?,हाँ
"Cruiseship - inside, crew cabin at night.wav",क्या पृष्ठभूमि में अन्य शोर हैं?,हाँ
20150330_09.passing.car.day.wav,क्या वाहन अंत में दूर चला जाता है?,हाँ
bird.wav,क्या कोई चल रहा है?,हाँ
Metallic Lingo.wav,क्या धातु का एक टुकड़ा उठाया और गिराया जा रहा है?,नहीं
waterpipesandworkers.wav,क्या आरी बीच में बंद हो जाती है?,नहीं
DR-100_0016_CPH train station_01.wav,क्या कोई बाइक चला रहा है?,नहीं
shopping-cart-rattle.wav,क्या धातु की आवाज़ हैं?,हाँ
Stepping in puddles w ambient rain.wav,क्या एक लय में छींटाकशी तेज हो जाती है?,नहीं
Water_Running_Down_Drain.wav,क्या समुद्र से पानी है?,हाँ
outdoor ambience city union square park voices footsteps distant traffic.wav,क्या घंटियाँ हैं?,नहीं
stream5.wav,क्या यह पानी है?,हाँ
00214 supermarket entrance 1.wav,क्या लोग बोल रहे हैं?,हाँ
GulfWaves2.wav,क्या यह एक इलेक्ट्रिक ड्रिल है?,नहीं
_Stream 4 at Krka falls.wav,क्या बारिश हो रही है?,हाँ
2 crickets chirping during a summer evening in the city (with traffic noise).wav,क्या यह प्रकृति में है?,नहीं
Lassen.wav,क्या शोर स्थिर है?,हाँ
CoinSpin.wav,क्या आइटम धातु से बना है?,हाँ
walking-gravel.wav,क्या नक्शेकदम की गति बढ़ती है?,नहीं
Turning Book Pages.wav,क्या यह कागज की आवाज़ है?,हाँ
R09_0005 bird ambience.wav,क्या यह एक सड़क मार्ग के पास है?,हाँ
Kings Cross street sounds.wav,क्या लोग बात कर रहे हैं?,नहीं
circadas-near-casino.wav,क्या शोर सुसंगत है?,हाँ
wind_in_long_reeds_24_96_mono.wav,क्या ऐसा लगता है जैसे कोई व्यक्ति चारों ओर फेरबदल कर रहा है?,हाँ
Bus3.wav,क्या कई लोग हैं?,हाँ
hereg_hungary__grain_field_1_20080712.wav,क्या लोग गा रहे हैं?,नहीं
Olive Oil.wav,क्या ध्वनि तरल से आ रही है?,हाँ
SD trolley.wav,क्या कोई सांस ले रहा है?,हाँ
01-bottle-water-sparkle.wav,क्या कोई व्यक्ति चल रहा है?,नहीं
construction_rubber_mallet_01.wav,क्या धमाके के बीच रुकना है?,हाँ
shopping-cart-rattle.wav,क्या आसपास कोई जानवर है?,हाँ
20070819.fjord.beach.00.wav,क्या चारों ओर कई बाज हैं?,नहीं
20100401.brussels.01.wav,क्या घंटी एक से अधिक बार रिंग करती है?,हाँ
construction_rubber_mallet_01.wav,हैमरिंग जोर से है?,हाँ
