file_name,QuestionText,answer
Tortured Apple 01.wav,Schreeuwt iemand?,Ja
Geyser ambience and turn off.wav,Verandert de motor van de motor?,Ja
DR-100_0016_CPH train station_01.wav,Is er een auto te horen weg die wegrijden?,Nee
junction_night_traffic.wav,Staat de bron van het zoemende staat stil?,Nee
Teddington weir.wav,vindt dit plaats in de ruimte?,Ja
SparklingSound.wav,gebeurt dit buiten?,Ja
20091225.rain.01.wav,Spreekt iemand?,Ja
20060426.marsh.house.ambiance.wav,Is er een menigte mensen?,Nee
WaterFall2.wav,blijft het geluid constant?,Ja
Car passing.wav,Zijn meerdere auto's in het geluid?,Ja
Zoo2-20130725.wav,Is er meer dan één vogel?,Ja
pages turning.wav,Kunnen vogels worden gehoord tjilpen?,Nee
20100117.beeps.00.wav,Maken bugs een heleboel lawaai?,Ja
Galactic signal 3.wav,Zijn er snel klikkende geluiden in het alarmgeluid?,Ja
cf_AT_ESCH_SchlafzMittagNorm_WIND.wav,Is dit iemand die op een pogo -stick springt?,Ja
Ominous Ambience.wav,Volgt de ruis hetzelfde patroon van begin tot eind?,Ja
PS3F_FOZ_Terminal_motor onibus_sabado_tarde.wav,Stopt het voertuig?,Ja
37_night_kasanga.wav,Zijn er insecten zoemen?,Ja
Grand Prix 2.wav,Schreeuwen mensen?,Nee
junction_night_traffic.wav,Is dit een motor?,Ja
shopping-cart-rattle.wav,Is er een kat?,Nee
"traffic medium throaty downtown and people from balcony Havana, Cuba 2008.wav",is het een vogel?,Nee
EXT Steel works far.wav,Luisteren ze naar de radio?,Nee
Slow Carillon - GoSoundtrack .wav,Zijn de noten vervormd?,Ja
grifo goteando.wav,Gebeurt de ploping meer dan vier keer?,Nee
Clinking Glasses.wav,Zijn er slechts drie rinkel?,Nee
Street cleaning.wav,Is dit een natuurlijk voorkomend geluid?,Nee
In Car Driving with Open Window.wav,Is er iets op de grond gevallen en gebroken?,Nee
Prep Rally.wav,Speelt er muziek?,Ja
Fountain_1.wav,Is het water stabiel in zijn beweging?,Ja
animals-pig-hens-Blaafarveverket-090721.wav,Zou dit een boerderij kunnen zijn?,Ja
Thunder.wav,Is het alleen maar strooien met regen?,Nee
Close Cracking Thunder.wav,Is er een regen te horen vallen?,Nee
Spring.wav,Glijpt iets door het gras?,Nee
drop.wav,Kan donder worden gehoord?,Nee
Crepe Making.wav,Is er aan het einde een licht geritaal?,Ja
EXT Steel works far.wav,Wordt er een object gevallen?,Ja
Grasshoppers_and_wind1.wav,Kunnen wolven op de achtergrond worden gehoord?,Nee
Stove Top(Gas)_1-2.wav,Is het mogelijk om in het begin een klikgeluid te horen?,Ja
Ketchup Farts.wav,Stopt het geluid in het midden?,Nee
buzzing stinging.wav,Wordt een boom gehakt?,Nee
Bedroom Door Knocks.wav,Is het een trommel?,Nee
Soft rain in Berlin with thunder in background.wav,Zijn mensen aan het lachen?,Nee
car dragging limb.wav,Is er een motor?,Ja
sawing asphalt.wav,Is er een snijmachine?,Ja
walking slowly on wooden floor 1.wav,loopt iemand rond?,Nee
SwampFrogsAndGeese.wav,Bent een hond?,Ja
Rosary.wav,Klinkt het winderig?,Nee
civenna bell.wav,Lachen kinderen?,Ja
bowling_basin_2.wav,Is er iets fluiten?,Nee
Rolling Drawer.wav,Is een lade openen en sluiten?,Ja
Bathtub_with_Foam.wav,Is dit binnen?,Ja
Wood_Creak_02.wav,Is er een dier?,Nee
Gravel_Sand Walking 2.wav,Snijdt iemand wortelen?,Nee
Walking_up_the_hill.wav,Zijn er geluiden van water spatten?,Nee
knock on wood.wav,Hebben ze herhaaldelijk echt snel gokt direct na de eerste vijf kloppen?,Ja
evening_rain.wav,praten mensen?,Nee
Packaging Paper Pen Scribble.wav,Is het luid?,Nee
car dragging limb.wav,Maakt de motor een luid pitchgeluid?,Ja
Rain Gutter Dripping.wav,Gaat het geluid bij het gieten van iets?,Ja
OsFnHhVsDoors.wav,Is het geluid krijsend van aard?,Nee
wind in the trees.wav,Is het geluid aan het einde het hardst?,Ja
Light Rain Home2.wav,Gooi iemand stenen?,Nee
_01storm - orage.wav,Is er een radio op de achtergrond?,Nee
greece_naxos_cicadas_3.wav,Zijn die vogels die tjilpen?,Nee
20080504.birdsong.wav,Drink iemand luid water?,Nee
"Marratxi_Melding_1e trein van spoor 2_is met bestemming_Palmamelding, dat trein op alle tussengelegen stations zal stoppen_100311.wav",Is iemand luid?,Ja
ambient 2.wav,Kan een laag geluid worden gehoord?,Ja
Walking in Circles around fountain.wav,Inhaleert iemand scherp?,Nee
salle.spectacle.remplie.wav,praten mensen?,Ja
md10trk3.wav,Is de machine -ruis constant?,Ja
Tsaritsyno-Park. Spring.wav,Is dit in de stad?,Ja
Maas 03 100215.wav,Wordt het water belemmerd door objecten?,Ja
Microwave Door Open Close .wav,gebeurt het geluid in een ongelijk tempo?,Ja
City Bus.wav,Rijdt het geluid uit een trein?,Ja
20160302_04.ushuaia.train.wav,draait een machine?,Ja
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,Roept een patiënt uit om lidocaïne?,Nee
Village Morning Atmos.wav,praten mensen?,Nee
stream_small.wav,Is het motregen?,Ja
Finch.wav,Zijn er auto's?,Ja
LONG APPLAUSE.wav,Staat het klappen neer?,Ja
London Underground- tube train at station.wav,Is een kind te horen praten?,Ja
20120715_ourense.bell.01.wav,Wordt de bel aan het einde luider?,Nee
1990 repetition brass-band 01.wav,Is een brandweerwagen voorbijgegaan?,Nee
CountrySideSummerEvening.wav,Zagen er eenden?,Nee
Crow noise.wav,Is er een menselijk zingen?,Nee
under flyover_300513.wav,Gaan er twee vogels heen en weer met elkaar gaan?,Ja
container port 01.wav,Zit er een door de man gemaakte machine in deze clip?,Ja
outdoors ambient distant bird.wav,Vist iemand?,Nee
old tractor passing Hatz.wav,Is het geluid mechanisch?,Ja
swings.wav,vallen golven aan de kust?,Ja
Wood Floor.wav,praat iemand?,Nee
d0_drips_03.wav,Is er iets tikken?,Ja
Slider door.wav,Hoest de persoon?,Nee
book handling.wav,Is er meer dan één pagina omgedraaid?,Ja
Backyard Gate.wav,Krijgt de poort?,Ja
Remix #3  of 30938__halleck__crash1-reverse.wav,Is het geluid griezelig?,Ja
Pouring Into Glass.wav,Worden er een soort houdingen gebruikt?,Ja
