file_name,QuestionText,answer
AmbianceBackyard_Quiet_bip.wav,Zijn er meer dan één vogel squawking?,Ja
AmbianceBackyard_Quiet_bip.wav,Zijn er meer dan één vogel squawking?,Ja
AmbianceBackyard_Quiet_bip.wav,Zijn er meer dan één vogel squawking?,Ja
AmbianceBackyard_Quiet_bip.wav,Hebben er mensen een gesprek?,Nee
AmbianceBackyard_Quiet_bip.wav,Hebben er mensen een gesprek?,Nee
AmbianceBackyard_Quiet_bip.wav,Hebben er mensen een gesprek?,Nee
AmbianceBackyard_Quiet_bip.wav,Zijn deze dieren buiten?,Nee
AmbianceBackyard_Quiet_bip.wav,Zijn deze dieren buiten?,Ja
AmbianceBackyard_Quiet_bip.wav,Zijn deze dieren buiten?,Ja
AmbianceBackyard_Quiet_bip.wav,Is er maar één vogel sqauwking?,Nee
AmbianceBackyard_Quiet_bip.wav,Is er maar één vogel sqauwking?,Nee
AmbianceBackyard_Quiet_bip.wav,Is er maar één vogel sqauwking?,Nee
20110121_cranes.wind.wav,Is het een hond die het lawaai maakt?,Nee
20110121_cranes.wind.wav,Is het een hond die het lawaai maakt?,Nee
20110121_cranes.wind.wav,Is het een hond die het lawaai maakt?,Nee
20110121_cranes.wind.wav,Is een vogel dichtbij en een vogel ver weg?,Ja
20110121_cranes.wind.wav,Is een vogel dichtbij en een vogel ver weg?,Ja
20110121_cranes.wind.wav,Is een vogel dichtbij en een vogel ver weg?,Ja
20110121_cranes.wind.wav,Schreeuwt er een persoon?,Nee
20110121_cranes.wind.wav,Schreeuwt er een persoon?,Nee
20110121_cranes.wind.wav,Schreeuwt er een persoon?,Nee
20110121_cranes.wind.wav,Is dit buiten?,Ja
20110121_cranes.wind.wav,Is dit buiten?,Ja
20110121_cranes.wind.wav,Is dit buiten?,Ja
EXT Steel works far.wav,Luisteren ze naar de radio?,Nee
EXT Steel works far.wav,Luisteren ze naar de radio?,Nee
EXT Steel works far.wav,Luisteren ze naar de radio?,Nee
EXT Steel works far.wav,Wordt er een object gevallen?,Ja
EXT Steel works far.wav,Wordt er een object gevallen?,Ja
EXT Steel works far.wav,Wordt er een object gevallen?,Ja
EXT Steel works far.wav,Werkt iemand?,Ja
EXT Steel works far.wav,Werkt iemand?,Ja
EXT Steel works far.wav,Werkt iemand?,Ja
EXT Steel works far.wav,Is er een vorkheftruck aanwezig?,Ja
EXT Steel works far.wav,Is er een vorkheftruck aanwezig?,Nee
EXT Steel works far.wav,Is er een vorkheftruck aanwezig?,Ja
Walking in Circles around fountain.wav,Kunnen dieren in de verte worden gehoord?,Ja
Walking in Circles around fountain.wav,Kunnen dieren in de verte worden gehoord?,Ja
Walking in Circles around fountain.wav,Kunnen dieren in de verte worden gehoord?,Ja
Walking in Circles around fountain.wav,Inhaleert iemand scherp?,Ja
Walking in Circles around fountain.wav,Inhaleert iemand scherp?,Nee
Walking in Circles around fountain.wav,Inhaleert iemand scherp?,Nee
Walking in Circles around fountain.wav,Is er een sterke wind?,Ja
Walking in Circles around fountain.wav,Is er een sterke wind?,Nee
Walking in Circles around fountain.wav,Is er een sterke wind?,Ja
Walking in Circles around fountain.wav,Is de opname buiten gemaakt?,Ja
Walking in Circles around fountain.wav,Is de opname buiten gemaakt?,Ja
Walking in Circles around fountain.wav,Is de opname buiten gemaakt?,Ja
20070819.fjord.beach.00.wav,Zijn er verschillende haviken in de buurt?,Ja
20070819.fjord.beach.00.wav,Zijn er verschillende haviken in de buurt?,Nee
20070819.fjord.beach.00.wav,Zijn er verschillende haviken in de buurt?,Nee
20070819.fjord.beach.00.wav,Gaat dit geluid beweging in?,Ja
20070819.fjord.beach.00.wav,Gaat dit geluid beweging in?,Ja
20070819.fjord.beach.00.wav,Gaat dit geluid beweging in?,Ja
20070819.fjord.beach.00.wav,Komt dit geluid binnenshuis voor?,Nee
20070819.fjord.beach.00.wav,Komt dit geluid binnenshuis voor?,Nee
20070819.fjord.beach.00.wav,Komt dit geluid binnenshuis voor?,Nee
20070819.fjord.beach.00.wav,regent het?,Ja
20070819.fjord.beach.00.wav,regent het?,Ja
20070819.fjord.beach.00.wav,regent het?,Nee
west ham bubbles.wav,praat meer dan één persoon?,Ja
west ham bubbles.wav,praat meer dan één persoon?,Ja
west ham bubbles.wav,praat meer dan één persoon?,Ja
west ham bubbles.wav,Bent muziek het nummer vergezeld?,Nee
west ham bubbles.wav,Bent muziek het nummer vergezeld?,Nee
west ham bubbles.wav,Bent muziek het nummer vergezeld?,Nee
west ham bubbles.wav,Is één persoon alleen thuis?,Nee
west ham bubbles.wav,Is één persoon alleen thuis?,Nee
west ham bubbles.wav,Is één persoon alleen thuis?,Ja
west ham bubbles.wav,Is dit een goed bezocht evenement?,Ja
west ham bubbles.wav,Is dit een goed bezocht evenement?,Ja
west ham bubbles.wav,Is dit een goed bezocht evenement?,Ja
sants_train.wav,Zijn er mensen aan het praten?,Nee
sants_train.wav,Zijn er mensen aan het praten?,Ja
sants_train.wav,Zijn er mensen aan het praten?,Ja
sants_train.wav,Is het geluid consistent?,Ja
sants_train.wav,Is het geluid consistent?,Ja
sants_train.wav,Is het geluid consistent?,Ja
sants_train.wav,Is het geluid melodieus?,Ja
sants_train.wav,Is het geluid melodieus?,Nee
sants_train.wav,Is het geluid melodieus?,Nee
sants_train.wav,Is er een gedempt geluid?,Ja
sants_train.wav,Is er een gedempt geluid?,Ja
sants_train.wav,Is er een gedempt geluid?,Ja
Rainstorm.wav,Kunnen zeemeeuwen worden gehoord?,Ja
Rainstorm.wav,Kunnen zeemeeuwen worden gehoord?,Ja
Rainstorm.wav,Kunnen zeemeeuwen worden gehoord?,Ja
Rainstorm.wav,Wordt het audio -apparaat verplaatst?,Ja
Rainstorm.wav,Wordt het audio -apparaat verplaatst?,Ja
Rainstorm.wav,Wordt het audio -apparaat verplaatst?,Ja
Rainstorm.wav,Is dit een geluid dat meestal wordt gemaakt door vocalisatie van dieren?,Nee
Rainstorm.wav,Is dit een geluid dat meestal wordt gemaakt door vocalisatie van dieren?,Nee
Rainstorm.wav,Is dit een geluid dat meestal wordt gemaakt door vocalisatie van dieren?,Nee
Rainstorm.wav,Is dit iets dat meestal in de woestijn kan worden gehoord?,Nee
Rainstorm.wav,Is dit iets dat meestal in de woestijn kan worden gehoord?,Nee
Rainstorm.wav,Is dit iets dat meestal in de woestijn kan worden gehoord?,Ja
31 hn_door4.wav,Zijn de geluiden consistent en komen ze allemaal uit dezelfde bron?,Ja
31 hn_door4.wav,Zijn de geluiden consistent en komen ze allemaal uit dezelfde bron?,Nee
31 hn_door4.wav,Zijn de geluiden consistent en komen ze allemaal uit dezelfde bron?,Nee
31 hn_door4.wav,Is stuiteren gehoord?,Nee
31 hn_door4.wav,Is stuiteren gehoord?,Nee
31 hn_door4.wav,Is stuiteren gehoord?,Ja
31 hn_door4.wav,klopt iemand op een deur?,Nee
31 hn_door4.wav,klopt iemand op een deur?,Nee
31 hn_door4.wav,klopt iemand op een deur?,Ja
31 hn_door4.wav,Open en sluit iemand een deur?,Ja
31 hn_door4.wav,Open en sluit iemand een deur?,Ja
31 hn_door4.wav,Open en sluit iemand een deur?,Ja
jf Ingenioius Experiment.wav,Zijn er veel kleine stukjes?,Ja
jf Ingenioius Experiment.wav,Zijn er veel kleine stukjes?,Ja
jf Ingenioius Experiment.wav,Zijn er veel kleine stukjes?,Ja
jf Ingenioius Experiment.wav,Maakt iemand een puinhoop?,Nee
jf Ingenioius Experiment.wav,Maakt iemand een puinhoop?,Ja
jf Ingenioius Experiment.wav,Maakt iemand een puinhoop?,Nee
jf Ingenioius Experiment.wav,Vaaid iemand?,Ja
jf Ingenioius Experiment.wav,Vaaid iemand?,Ja
jf Ingenioius Experiment.wav,Vaaid iemand?,Ja
jf Ingenioius Experiment.wav,Schreeuwt iemand?,Nee
jf Ingenioius Experiment.wav,Schreeuwt iemand?,Ja
jf Ingenioius Experiment.wav,Schreeuwt iemand?,Ja
SamyeLing_Drain121102.wav,praten mensen?,Nee
SamyeLing_Drain121102.wav,praten mensen?,Nee
SamyeLing_Drain121102.wav,praten mensen?,Nee
SamyeLing_Drain121102.wav,Is druipende vloeistof te horen?,Ja
SamyeLing_Drain121102.wav,Is druipende vloeistof te horen?,Ja
SamyeLing_Drain121102.wav,Is druipende vloeistof te horen?,Ja
SamyeLing_Drain121102.wav,Kan donder worden gehoord?,Nee
