file_name,QuestionText,answer
AmbianceBackyard_Quiet_bip.wav,क्या एक से अधिक पक्षी स्क्वाकिंग हैं?,हाँ
AmbianceBackyard_Quiet_bip.wav,क्या एक से अधिक पक्षी स्क्वाकिंग हैं?,हाँ
AmbianceBackyard_Quiet_bip.wav,क्या एक से अधिक पक्षी स्क्वाकिंग हैं?,हाँ
AmbianceBackyard_Quiet_bip.wav,क्या लोग बातचीत कर रहे हैं?,नहीं
AmbianceBackyard_Quiet_bip.wav,क्या लोग बातचीत कर रहे हैं?,नहीं
AmbianceBackyard_Quiet_bip.wav,क्या लोग बातचीत कर रहे हैं?,नहीं
AmbianceBackyard_Quiet_bip.wav,क्या ये जानवर बाहर हैं?,नहीं
AmbianceBackyard_Quiet_bip.wav,क्या ये जानवर बाहर हैं?,हाँ
AmbianceBackyard_Quiet_bip.wav,क्या ये जानवर बाहर हैं?,हाँ
AmbianceBackyard_Quiet_bip.wav,क्या केवल एक पक्षी sqauwking है?,नहीं
AmbianceBackyard_Quiet_bip.wav,क्या केवल एक पक्षी sqauwking है?,नहीं
AmbianceBackyard_Quiet_bip.wav,क्या केवल एक पक्षी sqauwking है?,नहीं
20110121_cranes.wind.wav,क्या यह एक कुत्ता शोर कर रहा है?,नहीं
20110121_cranes.wind.wav,क्या यह एक कुत्ता शोर कर रहा है?,नहीं
20110121_cranes.wind.wav,क्या यह एक कुत्ता शोर कर रहा है?,नहीं
20110121_cranes.wind.wav,क्या एक पक्षी करीब है और एक पक्षी दूर है?,हाँ
20110121_cranes.wind.wav,क्या एक पक्षी करीब है और एक पक्षी दूर है?,हाँ
20110121_cranes.wind.wav,क्या एक पक्षी करीब है और एक पक्षी दूर है?,हाँ
20110121_cranes.wind.wav,क्या कोई व्यक्ति चिल्ला रहा है?,नहीं
20110121_cranes.wind.wav,क्या कोई व्यक्ति चिल्ला रहा है?,नहीं
20110121_cranes.wind.wav,क्या कोई व्यक्ति चिल्ला रहा है?,नहीं
20110121_cranes.wind.wav,क्या यह बाहर है?,हाँ
20110121_cranes.wind.wav,क्या यह बाहर है?,हाँ
20110121_cranes.wind.wav,क्या यह बाहर है?,हाँ
EXT Steel works far.wav,क्या वे रेडियो सुन रहे हैं?,नहीं
EXT Steel works far.wav,क्या वे रेडियो सुन रहे हैं?,नहीं
EXT Steel works far.wav,क्या वे रेडियो सुन रहे हैं?,नहीं
EXT Steel works far.wav,क्या किसी वस्तु को गिराया जा रहा है?,हाँ
EXT Steel works far.wav,क्या किसी वस्तु को गिराया जा रहा है?,हाँ
EXT Steel works far.wav,क्या किसी वस्तु को गिराया जा रहा है?,हाँ
EXT Steel works far.wav,क्या कोई काम कर रहा है?,हाँ
EXT Steel works far.wav,क्या कोई काम कर रहा है?,हाँ
EXT Steel works far.wav,क्या कोई काम कर रहा है?,हाँ
EXT Steel works far.wav,क्या कोई फोर्कलिफ्ट मौजूद है?,हाँ
EXT Steel works far.wav,क्या कोई फोर्कलिफ्ट मौजूद है?,नहीं
EXT Steel works far.wav,क्या कोई फोर्कलिफ्ट मौजूद है?,हाँ
Walking in Circles around fountain.wav,क्या किसी जानवर को दूरी में सुना जा सकता है?,हाँ
Walking in Circles around fountain.wav,क्या किसी जानवर को दूरी में सुना जा सकता है?,हाँ
Walking in Circles around fountain.wav,क्या किसी जानवर को दूरी में सुना जा सकता है?,हाँ
Walking in Circles around fountain.wav,क्या कोई तेजी से साँस लेता है?,हाँ
Walking in Circles around fountain.wav,क्या कोई तेजी से साँस लेता है?,नहीं
Walking in Circles around fountain.wav,क्या कोई तेजी से साँस लेता है?,नहीं
Walking in Circles around fountain.wav,क्या एक तेज हवा है?,हाँ
Walking in Circles around fountain.wav,क्या एक तेज हवा है?,नहीं
Walking in Circles around fountain.wav,क्या एक तेज हवा है?,हाँ
Walking in Circles around fountain.wav,क्या रिकॉर्डिंग बाहर की गई थी?,हाँ
Walking in Circles around fountain.wav,क्या रिकॉर्डिंग बाहर की गई थी?,हाँ
Walking in Circles around fountain.wav,क्या रिकॉर्डिंग बाहर की गई थी?,हाँ
20070819.fjord.beach.00.wav,क्या चारों ओर कई बाज हैं?,हाँ
20070819.fjord.beach.00.wav,क्या चारों ओर कई बाज हैं?,नहीं
20070819.fjord.beach.00.wav,क्या चारों ओर कई बाज हैं?,नहीं
20070819.fjord.beach.00.wav,क्या इस ध्वनि में गति शामिल है?,हाँ
20070819.fjord.beach.00.wav,क्या इस ध्वनि में गति शामिल है?,हाँ
20070819.fjord.beach.00.wav,क्या इस ध्वनि में गति शामिल है?,हाँ
20070819.fjord.beach.00.wav,क्या यह ध्वनि घर के अंदर होती है?,नहीं
20070819.fjord.beach.00.wav,क्या यह ध्वनि घर के अंदर होती है?,नहीं
20070819.fjord.beach.00.wav,क्या यह ध्वनि घर के अंदर होती है?,नहीं
20070819.fjord.beach.00.wav,क्या बारिश हो रही है?,हाँ
20070819.fjord.beach.00.wav,क्या बारिश हो रही है?,हाँ
20070819.fjord.beach.00.wav,क्या बारिश हो रही है?,नहीं
west ham bubbles.wav,क्या एक से अधिक व्यक्ति बात कर रहे हैं?,हाँ
west ham bubbles.wav,क्या एक से अधिक व्यक्ति बात कर रहे हैं?,हाँ
west ham bubbles.wav,क्या एक से अधिक व्यक्ति बात कर रहे हैं?,हाँ
west ham bubbles.wav,क्या संगीत गीत के साथ है?,नहीं
west ham bubbles.wav,क्या संगीत गीत के साथ है?,नहीं
west ham bubbles.wav,क्या संगीत गीत के साथ है?,नहीं
west ham bubbles.wav,क्या एक व्यक्ति अकेला घर है?,नहीं
west ham bubbles.wav,क्या एक व्यक्ति अकेला घर है?,नहीं
west ham bubbles.wav,क्या एक व्यक्ति अकेला घर है?,हाँ
west ham bubbles.wav,क्या यह एक अच्छी तरह से उपस्थित घटना है?,हाँ
west ham bubbles.wav,क्या यह एक अच्छी तरह से उपस्थित घटना है?,हाँ
west ham bubbles.wav,क्या यह एक अच्छी तरह से उपस्थित घटना है?,हाँ
sants_train.wav,क्या लोग बात कर रहे हैं?,नहीं
