file_name,QuestionText,answer
Before-after remix of 117041__joedeshon__keys_in_ignition_warning.wav,C'è un suono statico in qualsiasi momento?,SÌ
chicken.wav,Ci sono più persone che parlano?,NO
walking-gravel.wav,La persona sente un corno per auto?,NO
noisy street.wav,Le persone possono essere ascoltate parlare?,NO
20060426.marsh.crikets.day.stereo.02.wav,Ci sono uccelli che cinguettano?,SÌ
wind-up.wav,Il giocattolo Wind-Up non ha funzionato?,NO
"2009-07-23_1730_Serralves, Fountain recorded between the fountains.wav",L'acqua è in funzione?,SÌ
Clock.Windup.Bell.Antique.wav,L'allarme smette di squillare?,SÌ
"01-31 Footsteps, Wood, Barefoot, Jumps &amp; Scuffs.wav",Ci sono più di due tonfo?,SÌ
Running on Wood.wav,È dentro?,SÌ
the sound of a forest after rain _ drops falling on ferns rear.wav,C'è solo un uccello?,NO
CountrySideSummerEvening.wav,Il cane abbaia ad alta voce?,SÌ
Whelen Yelp.wav,Il suono di un veicolo di emergenza?,SÌ
breaking_small_window.wav,qualcosa si rompe?,SÌ
Nord_Odal_Nyhus_04_juni_2011_quiet_forest_birds_insects_distant_chainsaw_01.wav,C'erano più che gli animali che facevano rumore?,SÌ
River far 1.wav,Gli uccelli possono essere ascoltati?,SÌ
little_brass_bell.wav,Le campane sono fatte di metallo?,SÌ
"Night Sounds, Summer Country.wav",Le persone parlano?,NO
Distant train with birds.wav,C'è un gatto che fa le fusa?,NO
Wood Steps.wav,La persona che cammina a piedi nudi?,NO
before-after remix of 147507__timmy-h123__sword-draw-02-.wav,qualcosa fa un segnale acustico?,SÌ
waves.wav,Qualcosa di forte caduta in acqua?,NO
"Rain On Town Square, South Germany.wav",Qualcuno sta urlando?,NO
outdoors ambient distant village.wav,Questo si svolge all'aperto?,SÌ
Rummaging through Items.wav,È una macchina?,NO
Diesel train arrives and departs 2.wav,c'è un clacson?,NO
Water Streaming #5.wav,L'acqua del bagno è in funzione?,SÌ
heavy old keys working on door lock.wav,qualcosa viene lanciato?,SÌ
Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,qualcuno sta parlando?,NO
Train_LightRail_By_T0147.wav,È un passaggio del treno?,SÌ
2006_04_16_water_and_frogs_colliure.wav,C'è qualcosa di bagnato in giro?,SÌ
SamyeLing_Drain121102.wav,Il gocciolamento liquido può essere ascoltato?,SÌ
Noise Monster 7.wav,Ci sono animali che fanno rumori rumoroso?,SÌ
Rolling Drawer.wav,Il cassetto è coerente per tutto il tempo?,NO
Shower Running 01.wav,L'acqua viene nuotata?,NO
Outdoors rumble.wav,è una mucca mooing?,NO
20100802.sawing.wav,Si può svolgere questa attività senza strumenti?,NO
Dog Barking .wav,Ci sono rumori animali?,SÌ
walking in snow 2.wav,L'elemento viene camminato sullo scricchiolio?,SÌ
SamyeLing_Drain121102.wav,Il tuono può essere ascoltato?,NO
Door.wav,Si può sentire qualcosa di vibrare?,SÌ
Burleson01.wav,I cani ululano?,NO
Foley pick up gun on wood 01.wav,Qualcuno gestisce un oggetto?,SÌ
walking 2.wav,La persona è in esecuzione?,NO
Mechanics_Wind_and_Play.wav,Le donne ridono?,NO
Toy Car.wav,Qualcuno sta facendo un rumore raschiante?,SÌ
Rain falling sound.wav,È soleggiato là fuori?,NO
20090102.street.noise.wav,La sirena si sta allontanando dalla persona che cammina?,SÌ
Landstraenverkehr bei Regen 3.wav,È bagnato?,SÌ
Cornell Big Cheer.wav,C'è una melodia all'inizio?,SÌ
Prep Rally.wav,C'è musica che suona?,SÌ
20091224.bells.02.wav,Le campane suonano ripetutamente?,SÌ
Ketchup Farts.wav,La persona sputa più volte?,SÌ
chinesealarmclock.wav,è ritmico?,SÌ
High_Stone_walk.wav,La persona fa una pausa tra camminare?,SÌ
Dawn-with-a-Pheasant.wav,è fuori?,SÌ
Stairwell with echo Front.wav,È vicino a una scala?,SÌ
Calm down-town morning 02 150722_0706.wav,La persona è sana?,NO
Pulley Sounds.wav,Ci sono uccelli che cantano?,NO
Distant train with birds.wav,è questo in montagna?,NO
Wood Steps.wav,È una superficie artificiale?,SÌ
bowling_basin_2.wav,C'è più di un suono?,SÌ
Study light riffles.wav,I denti stanno masticando qualcosa?,NO
Blackcap.wav,C'è più di un uccello che fa rumore?,SÌ
Toilet paper (Roll off and tear).wav,L'uomo dice qualcosa?,NO
Plastic Drawer Open and Close.wav,La persona è pinzando la carta?,SÌ
Fly_versus_Lamp.wav,È stata urtata una superficie?,SÌ
Nordschleife_Vorkriegsrennwagen_1.wav,Questo suono si verifica in natura?,NO
market2.wav,Gli umani stanno parlando?,SÌ
CONTACT MIC BOILING WATER 01.wav,Il traffico delle ore di punta si può ascoltare?,SÌ
Metra Train.wav,Si può sentire il ciarlatano anatra?,NO
compressed-waist-rubbish-container.wav,La persona si sta muovendo intorno ai macchinari?,SÌ
Toilet Flushaf.wav,È in una giungla?,NO
Train and dog.wav,Un cane abbaia in lontananza?,SÌ
wind in the trees.wav,Si può sentire statico?,SÌ
marissa sound 2.wav,I carillon fanno eco?,SÌ
Stream Below Dam With Slate Bottom.wav,Una moto sta avviando?,NO
bm_drip.wav,Può l'elemento ascoltato qui lasciare qualcuno bagnato?,SÌ
Underwater Noise restless 01 140704_0285.wav,C'è l'acqua corrente?,SÌ
37_night_kasanga.wav,È fuori?,SÌ
two noise generators 02.wav,C'è un problema con l'elettronica?,SÌ
Walking in the snow.wav,La persona canta?,NO
auto5.wav,È un elefante che fa rumore?,NO
kettle-watergong4.wav,Qualcosa sta colpendo il metallo?,SÌ
KOOKABURRA..WAV.wav,Si sentono solo gli uccelli?,NO
Exterior Prius In Stop Away series w door open and beeps at head.wav,Un veicolo è guidato?,SÌ
construction equipment tracked.wav,C'è un veicolo che si muove?,SÌ
Atmosphere - City Fountain (Loop).wav,Ci sono persone in giro?,SÌ
20140809_cruzul.river.wav,Ci sono uccelli che cinguettano?,NO
Ambience birds.wav,Ci sono cani che abbaiano?,NO
door-knock-open-close-wooden_close.wav,Il bussare diventa gradualmente più intenso?,SÌ
PAPER_PULLED_FROM_PURSE.wav,Ci sono maschi e femmine presenti?,SÌ
