file_name,QuestionText,answer
bridge.wav,I cani possono essere sentiti ringhiandosi l'un l'altro?,SÌ
Before-after remix of 117041__joedeshon__keys_in_ignition_warning.wav,C'è un suono statico in qualsiasi momento?,SÌ
chicken.wav,Ci sono più persone che parlano?,NO
walking-gravel.wav,La persona sente un corno per auto?,NO
noisy street.wav,Le persone possono essere ascoltate parlare?,NO
Lake Wars_extract.wav,Qualcuno fa rumore nel suono?,SÌ
20060426.marsh.crikets.day.stereo.02.wav,Ci sono uccelli che cinguettano?,SÌ
RiverBargeJune22012.wav,Il rumore che l'animale sta facendo continuare senza sosta?,SÌ
wind-up.wav,Il giocattolo Wind-Up non ha funzionato?,NO
swings.wav,Le onde si stanno schiantando sulla riva?,SÌ
"2009-07-23_1730_Serralves, Fountain recorded between the fountains.wav",L'acqua è in funzione?,SÌ
Schnelllauferpresse 01.wav,sta piovendo?,NO
Clock.Windup.Bell.Antique.wav,L'allarme smette di squillare?,SÌ
"01-31 Footsteps, Wood, Barefoot, Jumps &amp; Scuffs.wav",Ci sono più di due tonfo?,SÌ
cup.wav,È fastidioso?,SÌ
wood desk Open and close.wav,La stanza è silenziosa per lo più?,SÌ
Footsteps Dirt 01.wav,Le oche stanno suonando?,NO
Running on Wood.wav,È dentro?,SÌ
the sound of a forest after rain _ drops falling on ferns rear.wav,C'è solo un uccello?,NO
CountrySideSummerEvening.wav,Il cane abbaia ad alta voce?,SÌ
Whelen Yelp.wav,Il suono di un veicolo di emergenza?,SÌ
breaking_small_window.wav,qualcosa si rompe?,SÌ
pill bottle 4.wav,una bottiglia di vetro si rompe?,NO
Nord_Odal_Nyhus_04_juni_2011_quiet_forest_birds_insects_distant_chainsaw_01.wav,C'erano più che gli animali che facevano rumore?,SÌ
0232 Street_birds_2.wav,sta parlando umano?,NO
"traffic medium throaty downtown and people from balcony Havana, Cuba 2008.wav",C'è molto vento?,SÌ
Run and Splash 03.wav,qualcuno sta urlando?,NO
Thunder Sirens Wind and Rain.wav,La sirena si ferma col passare del tempo?,NO
contact_floor_lamp.wav,C'è l'acqua che cade sullo sfondo?,NO
