file_name,QuestionText,answer
INT Bedroom tone 4 with bird.wav,¿Es eso un sonido de un perro?,No
Thunder.wav,¿El trueno es ruidoso?,Sí
birds_long.wav,¿Hay varios animales haciendo ruido?,Sí
doorbell old.wav,¿Se golpea una campana repetidamente?,Sí
Oven Door.wav,¿Un objeto de acero golpea algo al final?,Sí
Thunder - 1.wav,¿Está hablando un hombre?,No
Zoo2-20130725.wav,¿Son estos sonidos de animales?,Sí
Playing With Tin Foil.wav,¿Se están utilizando las manos en este objeto?,Sí
kipgeluid.wav,¿Están las gallinas posibles?,Sí
smoking in car.wav,¿Alguien está tratando de encender algo?,Sí
Omni_Ambiental_PublicKitchen.wav,¿Hay pelota rebotando?,No
Signal of the police car.wav,¿La sirena hace un sonido continuo?,Sí
Grand Union Canal Kensal Green.wav,¿Hay ladridos?,Sí
Fountain Trompenburg 090928.wav,¿Se puede escuchar el agua?,Sí
down stairs running 1.wav,¿Hay pisotones?,Sí
Run and Splash 03.wav,¿La persona termina el trabajo al final del video?,Sí
Thunder - Guangzhou - China - Quiet.wav,¿El agua es audible porque alguien se está duchando?,No
harbour scene 1.wav,¿Se pueden escuchar a los niños?,Sí
"Marratxi_Melding_1e trein van spoor 2_is met bestemming_Palmamelding, dat trein op alle tussengelegen stations zal stoppen_100311.wav",¿Está hablando una persona?,Sí
bamboo_wind_chimes_1.wav,¿Están producidos diferentes sonidos por el instrumento?,Sí
Rock-various hits.wav,¿Alguien está moviendo una pieza?,Sí
Tsaritsyno-Park. Spring.wav,¿Hay humanos?,No
it_has_just_begun.wav,¿Se están disparando fuegos artificiales?,Sí
"Bells of St Alkelda&#39;s Church, Giggleswick, England.wav",¿Hay más de una campana?,Sí
20091225.rain.01.wav,¿Está esto en un entorno de oficina?,No
Rummaging through Items.wav,¿La persona está hablando mientras se muda?,No
AmbianceBackyard_Quiet_bip.wav,¿Hay personas teniendo una conversación?,No
Summer waves at Charmouth beach in Dorset.wav,¿Hay olas?,Sí
Diesel train arrives and departs 2.wav,¿El motor se vuelve más fuerte y suave?,Sí
icy_road.wav,¿La persona está usando un martillo?,No
keurigcoffee.wav,¿Hay muchos tipos diferentes de sonidos?,Sí
Turning Book Pages.wav,¿Es este el sonido del papel?,Sí
"Collingwood bees, bumble bees.wav",¿Hay múltiples seres vivos haciendo ruido en esta grabación?,Sí
Natural Ambience 01.wav,¿Se puede escuchar un avión volando?,No
TRAN_Plane_PropSpin_01.wav,¿Un tren silban?,No
by a busy road background.wav,¿Alguien está gritando?,No
WinterWren1.wav,¿Se puede escuchar la voz de una persona?,Sí
WinterWren1.wav,¿Hay una mujer hablando?,No
pages turning.wav,¿Se puede escuchar a los pájaros chirriar?,No
Truck Brakes.wav,¿Algo va más rápido y luego más lento repetidamente?,Sí
the sound of a forest after rain _ drops falling on ferns rear.wav,¿Hay un animal alrededor?,Sí
"woodpecker, wind and dogs.wav",¿Hay pájaros alrededor?,Sí
wood1.wav,¿La persona que cortó los registros hizo algún sonido?,Sí
