file_name,QuestionText,answer
Tortured Apple 01.wav,Schreeuwt iemand?,Ja
DR-100_0016_CPH train station_01.wav,Is er een auto te horen weg die wegrijden?,Nee
SparklingSound.wav,gebeurt dit buiten?,Ja
20060426.marsh.house.ambiance.wav,Is er een menigte mensen?,Nee
WaterFall2.wav,blijft het geluid constant?,Ja
Car passing.wav,Zijn meerdere auto's in het geluid?,Ja
Zoo2-20130725.wav,Is er meer dan één vogel?,Ja
pages turning.wav,Kunnen vogels worden gehoord tjilpen?,Nee
Galactic signal 3.wav,Zijn er snel klikkende geluiden in het alarmgeluid?,Ja
Ominous Ambience.wav,Volgt de ruis hetzelfde patroon van begin tot eind?,Ja
Grand Prix 2.wav,Schreeuwen mensen?,Nee
junction_night_traffic.wav,Is dit een motor?,Ja
shopping-cart-rattle.wav,Is er een kat?,Nee
"traffic medium throaty downtown and people from balcony Havana, Cuba 2008.wav",is het een vogel?,Nee
EXT Steel works far.wav,Luisteren ze naar de radio?,Nee
Clinking Glasses.wav,Zijn er slechts drie rinkel?,Nee
In Car Driving with Open Window.wav,Is er iets op de grond gevallen en gebroken?,Nee
Prep Rally.wav,Speelt er muziek?,Ja
Fountain_1.wav,Is het water stabiel in zijn beweging?,Ja
Spring.wav,Glijpt iets door het gras?,Nee
drop.wav,Kan donder worden gehoord?,Nee
Crepe Making.wav,Is er aan het einde een licht geritaal?,Ja
EXT Steel works far.wav,Wordt er een object gevallen?,Ja
Grasshoppers_and_wind1.wav,Kunnen wolven op de achtergrond worden gehoord?,Nee
Ketchup Farts.wav,Stopt het geluid in het midden?,Nee
buzzing stinging.wav,Wordt een boom gehakt?,Nee
Bedroom Door Knocks.wav,Is het een trommel?,Nee
Soft rain in Berlin with thunder in background.wav,Zijn mensen aan het lachen?,Nee
car dragging limb.wav,Is er een motor?,Ja
sawing asphalt.wav,Is er een snijmachine?,Ja
Rolling Drawer.wav,Is een lade openen en sluiten?,Ja
Bathtub_with_Foam.wav,Is dit binnen?,Ja
Walking_up_the_hill.wav,Zijn er geluiden van water spatten?,Nee
knock on wood.wav,Hebben ze herhaaldelijk echt snel gokt direct na de eerste vijf kloppen?,Ja
evening_rain.wav,praten mensen?,Nee
Packaging Paper Pen Scribble.wav,Is het luid?,Nee
car dragging limb.wav,Maakt de motor een luid pitchgeluid?,Ja
Rain Gutter Dripping.wav,Gaat het geluid bij het gieten van iets?,Ja
Light Rain Home2.wav,Gooi iemand stenen?,Nee
_01storm - orage.wav,Is er een radio op de achtergrond?,Nee
20080504.birdsong.wav,Drink iemand luid water?,Nee
"Marratxi_Melding_1e trein van spoor 2_is met bestemming_Palmamelding, dat trein op alle tussengelegen stations zal stoppen_100311.wav",Is iemand luid?,Ja
ambient 2.wav,Kan een laag geluid worden gehoord?,Ja
salle.spectacle.remplie.wav,praten mensen?,Ja
md10trk3.wav,Is de machine -ruis constant?,Ja
Microwave Door Open Close .wav,gebeurt het geluid in een ongelijk tempo?,Ja
City Bus.wav,Rijdt het geluid uit een trein?,Ja
20160302_04.ushuaia.train.wav,draait een machine?,Ja
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,Roept een patiënt uit om lidocaïne?,Nee
Village Morning Atmos.wav,praten mensen?,Nee
Finch.wav,Zijn er auto's?,Ja
LONG APPLAUSE.wav,Staat het klappen neer?,Ja
London Underground- tube train at station.wav,Is een kind te horen praten?,Ja
1990 repetition brass-band 01.wav,Is een brandweerwagen voorbijgegaan?,Nee
