file_name,QuestionText,answer
quacking-squirt-bottle.wav,is nothing coming out of the spray bottle?,NO
FranklinStoveDoorGroansandHits_RX.wav,Is there a person moving something?,YES
Bear Last Audio.wav,Does this sound animalistic?,YES
20080504.birdsong.wav,Is someone loudly drinking water?,NO
vieux fou #1.wav,Is a cat making noise?,NO
banging_metal_cabinet.wav,Does the pattern of the sound change?,YES
Kobe-train-announcement-and-arrival.wav,Can a car horn be heard?,NO
turtledove sounds.wav,Is there more than one animal making sound?,YES
outdoor ambience city union square park voices footsteps distant traffic.wav,Is there honking?,NO
kitchen metal.wav,Are there a variation of instruments?,YES
Toilet paper (Roll off and tear).wav,Is the tape being stretched?,YES
bubbles 2 tall glass.wav,Is someone sneezing?,NO
easter morning birdsong.wav,are there dogs barking?,YES
KOOKABURRA..WAV.wav,Can a cuckoo bird be heard?,YES
Village Morning Atmos.wav,is there only one dog?,NO
windy porch morning B.wav,Is this outside?,YES
bamboo_wind_chimes_1.wav,Is the rhythm of the instrument being struck constant?,YES
walking up a wooded hill.wav,Is someone walking?,YES
OldCarHornsAndSirens.wav,Is this happening inside a house?,NO
Blackcap.wav,Are there people laughing?,NO
Public Waterfall.wav,Is someone shaking a tambourine?,NO
Motorbike.wav,Is a vehicle driving fast?,YES
Kids chatter Primary School Birmingham UK.wav,Are animals heard?,NO
Pedestrian street cph.wav,Can a man be heard speaking?,YES
BOILING WATER COOKING.wav,Is anyone talking?,NO
20060426.marsh.crikets.day.stereo.02.wav,Is a crowd cheering?,YES
VULCANIZED_SOLE_FOOTSTEPS_MANOLIOM.wav,Is there a person walking on a hard surface?,YES
Toy Car.wav,Does it involve sports?,NO
outdoors ambient distant village.wav,Can a dog be heard barking?,NO
Scribble_long_strokes.wav,Is there a door being shut ?,NO
Pegasus running.wav,Is the vehicle outside?,YES
air show flyby 2007-08-18.wav,Does the vehicle come closer then move farther away?,YES
Birds Chirping outside Krucifix Productions Sound Effects.wav,Is this in nature?,YES
forest04.wav,Do these animals fly?,YES
070821_flsp_trail05.wav,Can a plane be heard?,YES
train in the field.wav,Is it raining heavily?,NO
Stream Honiton.wav,Is somebody breaking glass?,NO
Streaming.wav,Is a large amount of water actively moving?,YES
Coyote -crickets &amp; dogs in a pine forest mid night .wav,Are there animals around ?,YES
Knocking at door.wav,Is someone playing the drums?,NO
8 minutes in one.wav,Is a voice discernible in the sound?,NO
Feria.wav,"Is the engine idling down, getting softer not louder?",YES
Mockingbird singing @ Alfama.wav,Is there an animal making noise?,YES
BANISTER_FLOOR CREAK.wav,Did the man speak?,YES
Industrial Heating Vent.wav,Are people talking?,NO
Natural Ambience 01.wav,Do all the birds chirp the same?,NO
plastic bag rustle.wav,I someone crinkling a wrapping?,YES
thunder04.wav,Is there a tornado?,NO
plasglass.wav,Is there a melody?,NO
Outside01.wav,Is there a flock of birds?,NO
PageFlip5.wav,Is paper being cut?,NO
trumpet.wav,Is the instrument made of brass?,YES
Rummaging through Items.wav,Is there something making contact with the ground?,NO
engine start BMW 320 VG91.wav,Did someone start an engine?,YES
Rain at the city window - 44.1kHz16Bit - XYStereo - TASCAM - DR40 - intMic - normalized - fade in and fade out.wav,Is a train driving on the tracks?,NO
Steady Rain.wav,Does the rain get heavier?,YES
Rain Loop with Low-Cut Filter.wav,Is it a man-made sound?,NO
Traffic 1 Bikes &amp; cars.wav,Are balloons popping?,NO
"Neighbours saturday moning street activity, GREENFIELD PLACE (Snippet).wav",Is this a frog?,NO
a flag is waving at the pole.wav,Does the sound repeat throughout?,YES
big pit winder.wav,Could a voice be heard?,NO
20090102.street.noise.wav,Is there a vehicle?,YES
Crinklng and opening packet of potato chips.wav,Is plastic being crinkled?,YES
Diesel Engines Approaching Cajon Pass.wav,Is a person playing the tuba?,NO
Machine Hum Clean.wav,Is the sound of the object dropping near?,NO
Knocking at door.wav,Is someone working on a project?,YES
foot_steps_snow_02.wav,does someone fall?,NO
Train_LightRail_By_T0147.wav,Is this a car?,NO
Old Shed Keys.wav,Is something hard being played with?,YES
Air condition running.wav,Is the sound consistent?,YES
steaming_water_ambience.wav,Is it raining outside ?,YES
Loading old cobbles.wav,Does a girl scream that something fell on her?,NO
rim of woods farmland people far NL 01 151003_0804 ST.wav,are there only birds that are audible?,NO
160170_Wind Blowing door_OWI.wav,Are there birds chirping in the background?,NO
20100117.beeps.00.wav,Is the sound unnatural?,YES
egg beater.wav,are animals heard?,NO
Gurgling.wav,Is the liquid calm?,YES
0804_094043 metal grinding or drilling 30secs.wav,Does this tool need electricity?,YES
Grasshoppers_and_wind1.wav,Can wolves be heard in the background?,NO
walking 2.wav,Does the person continually walk the entire time?,YES
Suburban thunder 01 130620_00.wav,Is this a sound that occurs naturally without human intervention?,YES
metal clink.wav,Is someone sifting through items?,YES
"Shopping Mall, ambience.wav",are there sounds of nature?,NO
marissa sound 2.wav,do the chimes echo?,YES
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 6mx15mx6m Part 2.wav,Are the footsteps getting closer?,YES
rim of woods farmland people far NL 01 151003_0804 ST.wav,Is a rooster making noise?,NO
Before-after remix of 117041__joedeshon__keys_in_ignition_warning.wav,could that be a sound of a police siren?,NO
Crowd Walla_Close Perspective.wav,Is more than one person at the event?,YES
Rattly metal elevator [binaural recording].wav,Is an animal making noise?,NO
Pedestrian street cph.wav,Is there a vehicle engine humming?,YES
uguisbari.wav,Is the person chopping wood?,NO
Half bathroom with some toilet noise.wav,Is someone taping something with packing tape?,NO
steel water.wav,Is someone tapping a pan several times?,YES
Rain after Thunder from Shed 2013-07-25 1.wav,Are the people in a quiet place?,NO
Kitchen Clock Ticking 2.wav,does an alarm go off?,YES
buzzing bee 3 multi.wav,Is there a cow mooing?,NO
"Weight machine, gas resistance.wav",Is there any buzzing?,YES
Carrer de Pons i Gallarza.wav,Are there people of different ages around?,YES
icy_road.wav,Is it raining outside?,NO
salle.spectacle.remplie.wav,Is the space crowded?,YES
Washing Hands.wav,Is someone in the running water?,YES
marissa sound 2.wav,Does this sound repeat throughout?,YES
OsFnHhVsDoors.wav,Is that a drawer being opened and closed repeatedly?,YES
stonemachine.wav,Is someone talking?,NO
Chopping parsley.wav,Is a dog panting?,NO
wood_saw_01.wav,Is there a drilling sound?,YES
"01-31 Footsteps, Wood, Barefoot, Jumps &amp; Scuffs.wav",Are people working out?,YES
Ferry I.wav,does the sound come from a machine?,YES
SYnth_NoisesAX9.wav,Does the sound follow a rhythm?,YES
"ICE passing by, then an ambulance with siren.wav",Is there water sounding?,YES
Rain and Thunder.wav,Is it a good day to play outside?,YES
water_splash_10shots.wav,Do the drops fall into some liquid?,YES
fire_engine_patrolling.wav,Is this scene taking place in a restaurant?,NO
Group running in sync on concrete.wav,Is there water flowing?,NO
AbdnC_KingStPelican_120225.wav,Was the sound recorded outside?,YES
Forest murmur .wav,Are these noises outside?,YES
Goldfinch and traffic.wav,is only one bird heard?,NO
30 seconds after (Mike Marsh).wav,do a many and a woman both utter sounds?,YES
Grammar school kids screaming _ Berlin-Wedding.wav,Are they playing outside?,YES
Oven 01.wav,Is this a pig squealing?,NO
lungs.wav,Is someone playing a violin?,YES
Toilet paper (Roll off and tear).wav,Does the man say anything?,NO
just birds.wav,Can traffic be heard?,YES
41. hangers on rack.wav,Is there a sound of metal?,YES
12_Ambient_Quarry_High_44_16.wav,Are there young people present?,YES
printer.wav,Is the sound flapping?,YES
raindrops_metalcover.wav,Is the rain falling on a tin roof?,YES
waves.wav,Can water be heard?,YES
Triumph start and idle.wav,Would this noise occur without a decision make by a human?,NO
Slow Carillon - GoSoundtrack .wav,Is someone blowing through the instrument?,YES
Ambient_Winter.wav,Is an air blower running ?,YES
rain_session_thunder2_2006.wav,Is there traffic noise?,YES
Water Pour.wav,Is this near a liquid?,YES
_Stream 3 at Krka falls.wav,Are cars honking in the background?,NO
static 770 kHz cycle zap.wav,Does someone's phone ring?,NO
"WASHING,machine.wav",Is the noise level constant?,NO
More waves at Collingwood.wav,Are there cars driving by?,NO
Tortured Apple 01.wav,Is something poured?,YES
Stairwell with echo Front.wav,Is this indoors?,YES
Box opened.wav,Is this a person?,NO
ambient 2.wav,Is this in a noisy factory?,NO
Lakeside.wav,Is there a cat?,NO
Fergus Whining.wav,I this outdoors?,NO
"October night, cicadas, crickets, jet flyover.wav",Is someone sweeping the floor?,NO
evening_rain.wav,Are people talking?,NO
swings.wav,Is the object being used have a squeaking structure?,YES
05-Bakken_Distant-Ambience.wav,Is this in a small pet store?,YES
High pitched drilling.wav,Are there multiple people talking?,NO
More waves at Collingwood.wav,Is a horn being blown?,NO
trenecito_maqueta.wav,Is a helicopter flying overhead?,YES
"Beach Waves, Praia Grande.wav",Is there animal sounds?,NO
Very low rumble.wav,Does the sound build up then calm down?,YES
bathroomSink2.wav,Is someone singing in the background  ?,YES
Atmo Wartehalle2.wav,Is there any clapping as the time goes on?,YES
nature-waterfall-Blaafarveverket-090721.wav,Are there people talking in the background?,NO
_01storm - orage.wav,Is the person in a crowded place?,NO
GarbageTruck.wav,Is there a utility vehicle going in reverse?,YES
book handling.wav,Has more than one page been flipped?,YES
