file_name,QuestionText,answer
Carrer de Pons i Gallarza.wav,Sind die Menschen in einer Bibliothek?,NEIN
keurig-coffe-maker.wav,Wird etwas gemischt?,Ja
Mechanical camera sound.wav,Gibt es mehrere Aktionen?,Ja
dull metal.wav,Halt es am Ende an?,NEIN
Calm down-town morning 02 150722_0706.wav,Ist die Person gesund?,NEIN
20061208.waves.02.wav,Gibt es Wasser?,Ja
Pebbles_Scrape_Drag_Foot.wav,Schwimmt jemand?,NEIN
WaterFall2.wav,Spielt eine Musik?,NEIN
Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,Spricht jemand?,NEIN
WaterFall2.wav,Bleibt das Geräusch konstant?,Ja
sink3.wav,Wäscht jemand eine Kaffeetasse?,Ja
Metallic Lingo.wav,Brechen Sie eine Glas?,NEIN
Crepe Making.wav,Wird nichts gekocht?,Ja
Box opened.wav,Ist das eine Person?,NEIN
footsteps 3.wav,Wird der Sound schneller?,Ja
AbdnC_KingStPelican_120225.wav,Können Tiere gehört werden?,NEIN
open and close umbrella.wav,Pause der Sound?,Ja
PassingCars02.wav,Gibt es Leute im Audio?,NEIN
Pet Store Ambience.wav,Gibt es ein knarrendes Geräusch?,Ja
AbdnC_KingStPelican_120225.wav,Schreist eine Ente?,NEIN
Before-after remix of 117041__joedeshon__keys_in_ignition_warning.wav,Ist das ein Wecker ein Piepton?,Ja
static 770 kHz cycle zap.wav,Klingt jemandes Telefon?,NEIN
Large crowd applause.wav,Ist das ein kleiner Veranstaltungsort?,Ja
amolador_pan_pipe.wav,Spielt die Musik die ganze Zeit?,NEIN
High pitched drilling.wav,benutzt er eine Übung?,Ja
Deltic Diesel Train Departure~Irwell Vale Halt~Bury.wav,Bellt ein Hund?,NEIN
April_2004_garden_birds01.wav,Ist der Vogel tot?,Ja
stream 1.wav,Kann Wasser im Clip zu hören?,Ja
Rain and Thunder.wav,"Ist es ein guter Tag, um draußen zu spielen?",Ja
windy marina.wav,Bellt ein Hund?,NEIN
High pitched drilling.wav,Ist der Bohrer ausgeschaltet und eingeschaltet?,Ja
bangalore_zug_steht.wav,Funktioniert die Maschine?,Ja
Sink and Water.wav,Ist Wasser vorhanden?,Ja
"ICE passing by, then an ambulance with siren.wav",Klingt es Wasser?,Ja
Galaktisk time signal.wav,Gibt es einen Tornado?,NEIN
01 barreau bunker original.wav,Ist das Klingeln im Ton anders?,Ja
in_cafe_4.wav,Sind die Menschen in einem Esszimmer?,Ja
EXT Steel works far.wav,Hören sie Radio?,NEIN
Mechanical camera sound.wav,Duscht jemand?,NEIN
Radio Static 1 (wav).wav,Ist es nervig?,Ja
Opening and closing DVD case.wav,kratzt eine Katze etwas?,Ja
In Car Driving with Open Window.wav,Ist etwas auf den Boden gefallen und gebrochen?,NEIN
Gurgling.wav,Verwendet jemand Klebeband?,NEIN
Crows.wav,Gab es am Anfang einen Einflussgeräusch?,NEIN
kettle-watergong4.wav,Gibt es einen Donnerklang?,Ja
2 08 Br Lib 2 amb kids.wav,Ist ein LKW vorbeigegangen?,NEIN
Thunder.wav,"Ist Thunder das einzige, was vorhanden ist?",NEIN
OldCarHornsAndSirens.wav,Klingen dann Fahrzeuge wie Eiswagen?,Ja
WinterWren1.wav,Können Vögel im Hintergrund gehört werden?,Ja
"09-07-16_1757_Afurada, next to the water in the habour.wav",Ist der flüssige Schall konstant?,Ja
ambient 2.wav,Gibt es Worte an die Musik?,NEIN
Schnelllauferpresse 01.wav,Wird das Stampfen von einer Maschine gemacht?,Ja
MetalHitRattling.wav,singt ein Chor?,NEIN
