file_name,QuestionText,answer
keurig-coffe-maker.wav,Wird etwas gemischt?,Ja
Mechanical camera sound.wav,Gibt es mehrere Aktionen?,Ja
dull metal.wav,Halt es am Ende an?,NEIN
Calm down-town morning 02 150722_0706.wav,Ist die Person gesund?,NEIN
20061208.waves.02.wav,Gibt es Wasser?,Ja
Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,Spricht jemand?,NEIN
WaterFall2.wav,Bleibt das Geräusch konstant?,Ja
sink3.wav,Wäscht jemand eine Kaffeetasse?,Ja
footsteps 3.wav,Wird der Sound schneller?,Ja
AbdnC_KingStPelican_120225.wav,Können Tiere gehört werden?,NEIN
open and close umbrella.wav,Pause der Sound?,Ja
PassingCars02.wav,Gibt es Leute im Audio?,NEIN
Pet Store Ambience.wav,Gibt es ein knarrendes Geräusch?,Ja
AbdnC_KingStPelican_120225.wav,Schreist eine Ente?,NEIN
static 770 kHz cycle zap.wav,Klingt jemandes Telefon?,NEIN
amolador_pan_pipe.wav,Spielt die Musik die ganze Zeit?,NEIN
High pitched drilling.wav,benutzt er eine Übung?,Ja
Deltic Diesel Train Departure~Irwell Vale Halt~Bury.wav,Bellt ein Hund?,NEIN
stream 1.wav,Kann Wasser im Clip zu hören?,Ja
High pitched drilling.wav,Ist der Bohrer ausgeschaltet und eingeschaltet?,Ja
bangalore_zug_steht.wav,Funktioniert die Maschine?,Ja
Sink and Water.wav,Ist Wasser vorhanden?,Ja
"ICE passing by, then an ambulance with siren.wav",Klingt es Wasser?,Ja
Galaktisk time signal.wav,Gibt es einen Tornado?,NEIN
01 barreau bunker original.wav,Ist das Klingeln im Ton anders?,Ja
EXT Steel works far.wav,Hören sie Radio?,NEIN
Radio Static 1 (wav).wav,Ist es nervig?,Ja
In Car Driving with Open Window.wav,Ist etwas auf den Boden gefallen und gebrochen?,NEIN
Gurgling.wav,Verwendet jemand Klebeband?,NEIN
2 08 Br Lib 2 amb kids.wav,Ist ein LKW vorbeigegangen?,NEIN
Thunder.wav,"Ist Thunder das einzige, was vorhanden ist?",NEIN
WinterWren1.wav,Können Vögel im Hintergrund gehört werden?,Ja
Schnelllauferpresse 01.wav,Wird das Stampfen von einer Maschine gemacht?,Ja
Lassen.wav,redet jemand?,NEIN
Class 66 At Aliwal Lane Crossing Whittlesea.wav,Gibt es Geschwätz?,NEIN
Water Pour.wav,Ist das in der Nähe einer Flüssigkeit?,Ja
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,Fahrt ein Lastwagen die Straße hinunter?,NEIN
birds forest.wav,Geht das in einem Zelt?,Ja
Spanish pinball machine in bar.wav,Reden Leute?,Ja
SuburbRain_Indoor.wav,Ändert sich der Sound in der Lautstärke?,Ja
kettle-watergong4.wav,Ist das Objekt mehrmals geschlagen?,Ja
Tsaritsyno-Park. Spring.wav,Ist das in der Natur?,Ja
Pegasus running.wav,Pfeift das Fahrzeug?,NEIN
WasherEndofSpinCycleStartFillCycle.wav,Macht die Maschine mehr als ein Geräusch?,Ja
8 minutes in one.wav,Ist der Klang entfernt?,NEIN
Box opened.wav,Manipuliert eine Person etwas?,Ja
printer.wav,Gibt es ein mechanisches Geräusch?,Ja
Skwer Starszych Panow Piatek Popoudniu.wav,Spricht eine Person?,Ja
061215_chalice_well_cascade_okm2_t02eq.wav,fällt das Wasser?,Ja
Shower Running 01.wav,Schlägt das Wasser auf eine Oberfläche?,Ja
Dog Barking .wav,Bellt der Hund groß?,Ja
Peckham Rye afternoon.wav,Gibt es ein Auto in dieser Aufnahme?,Ja
Spring Rain 1.wav,Gibt es einen Regengeräusch?,Ja
belladonna.wav,Bewegt sich etwas?,Ja
siren.wav,Ist das tief im Regenwald?,NEIN
birds-vendicari.wav,Wird ein Vogel gegen Ende des Clips aufgeregt?,Ja
Shipwreck underwater 01.wav,Schrie es eine Frau?,NEIN
rain_driveway_tunnel_drip_02.wav,Ist es ein lautes Gewitter?,NEIN
Thunderclap.wav,Gibt es einen Sturm draußen?,Ja
Kids chatter Primary School Birmingham UK.wav,Singen Leute ein Lied?,NEIN
OCELLS MIRADOR .wav,Schnüffelt eine Person?,Ja
Shaking and dragging of jar with stones.wav,Rollt etwas?,Ja
Triumph start and idle.wav,Ist dieser Klang von der Natur verursacht?,NEIN
crunchy_steps.wav,Gibt es Leute im Hintergrund?,NEIN
GuardDog1.wav,Bellen etwas?,Ja
file0699_4_birdsong.wav,Sind die Geräusche von einem Vogel?,Ja
Gulls in Park next to Barce.wav,Sind Naturtöne die einzigen Dinge vorhanden?,NEIN
CuttingOnion.wav,Spricht die Person?,NEIN
Bottle Open Pour Fizz.wav,Wird etwas gegossen?,Ja
TrashCompactor.wav,Gibt es Tiere in der Nähe?,NEIN
Sundsvall Harbour.wav,Schreien die Leute sich gegenseitig an?,NEIN
Manwe-metal_tools_on_concrete.wav,Kämpfen Menschen?,NEIN
Park Szczubeka Ulica Powsinska.wav,Ist das drinnen?,NEIN
CountrySideSummerEvening.wav,Bellt der Hund laut?,Ja
Smashing guitars.wav,Ist das nur Lärm?,Ja
smoking in car.wav,Versucht jemand etwas zu beleuchten?,Ja
20140809_cruzul.river.wav,Ist das ein trockener Ort?,NEIN
TrainAmbience(Mix).wav,Reden die Leute in einer Stadtstraße?,Ja
Sound_Of_Sea_In_Harbour.wav,Kann ein Tier gehört werden?,Ja
keurig-coffe-maker.wav,Flucht ein Mann?,NEIN
greece_naxos_white_noise_3.wav,Ist der Hund weit weg?,Ja
SuburbRain_Indoor.wav,Gibt es ein Fahrzeug?,Ja
Snapping twig.wav,"Klingt es so, als ob ein Objekt gebrochen wird?",NEIN
Cityscape 02 090617.wav,Weinen Babys?,NEIN
Unseathing &amp; Wobble.wav,Klopft eine Person auf ein Metallobjekt?,Ja
Heavy rain and thunder in Oklahoma.wav,Findet das draußen statt?,Ja
White River birds 2.wav,Spricht eine Frau mit dem Vogel?,NEIN
Air condition running.wav,Reden Leute?,NEIN
Fountain_1.wav,Ist das Wasser stabil in seiner Bewegung?,Ja
RiverBargeJune22012.wav,Gibt es ein lebendes Tier?,Ja
Outside01.wav,Können Fahrzeuge gehört werden?,Ja
Shaking Gate.wav,Stiegen zwei Katzen in einen Kampf?,NEIN
smoking in car.wav,Hat es gesprochen?,NEIN
KOOKABURRA..WAV.wav,Gibt es tropische Tiere?,Ja
ice rattle.wav,Gibt es kleine Auswirkungen?,Ja
windy porch morning B.wav,Ist das draußen?,Ja
Industrial Heating Vent.wav,reden die Leute?,NEIN
ResidentialFallNight_crickets.wav,"Gibt es Fehler, die Geräusche machen?",Ja
plasglass.wav,Gibt es in der Nähe Tiere?,NEIN
Fly_versus_Lamp.wav,Gibt es eine Fliege?,Ja
Canarian_Bird_In_Cage_Singing_1.wav,Wird der Vogel gegen Ende lauter?,Ja
20090105.crowd.drums.wav,Ist das wahrscheinlich ein Sportereignis?,Ja
Kitchen meal.wav,Macht etwas Kurzschluss?,NEIN
MISC_Police_Siren_Int_Onboard_003.wav,Wird am Ende ein irgendeiner Switch getroffen?,Ja
sw_PoultryBarn_cs8049.wav,Gibt es eine Gruppe von Menschen?,Ja
Walking in Circles around fountain.wav,Können Tiere in der Ferne gehört werden?,Ja
fdv_machine_a_ecrire.wav,tippt die Person?,Ja
RBH_Household_Bathroom fan.wav,Bricht die Maschine?,NEIN
birds_stereo.wav,Sind die Klänge natürlich?,Ja
ambient 2.wav,Gibt es Töne verschiedener Stellplätze?,Ja
bathroomSink2.wav,Kann ein Hubschrauber darüber fliegen hören?,NEIN
Carrer de Pons i Gallarza.wav,"Klingen die Leute so, als wären sie draußen?",NEIN
Collob church bells 2.wav,Klingt eine Glocke?,Ja
Durango-Silverton RR Dec 01 I 24 bit.wav,Bleibt dieser Transportmittel am Boden?,Ja
water_flows_through_crack_in_rocks.wav,Gibt es eine Bewegung?,Ja
walking up a wooded hill.wav,Geht jemand?,Ja
