file_name,QuestionText,answer
august_rain-007.wav,As gotas de chuva são pequenas?,sim
keurigcoffee.wav,A pessoa está cozinhando?,sim
Country Porch Crickets.wav,Os carros podem ser ouvidos?,sim
nature-waterfall-Blaafarveverket-090721.wav,Isso soa como água correndo?,sim
GarbageTruck.wav,Um sinal de porta -malas é?,sim
soda in ice.wav,Existe um objeto sendo aberto?,sim
steam radiator.wav,É um mecanismo de drenagem?,sim
Nordschleife_Vorkriegsrennwagen_1.wav,Esses dispositivos podem voar?,não
Pegasus running.wav,O homem pode ser ouvido rindo?,não
River far 1.wav,isso é água?,sim
KOOKABURRA..WAV.wav,Um pássaro cuco pode ser ouvido?,sim
_Stream 4 at Krka falls.wav,está chovendo?,sim
Cityscape Ferries 100208.wav,Existem pessoas gritando?,não
in_the_train_to_montpellier.wav,É um videogame?,sim
before-after remix of 147507__timmy-h123__sword-draw-02-.wav,Uma pessoa está gritando?,não
0232 Street_birds_2.wav,Isso é interno?,não
Tiny bells.wav,O som é minúsculo?,sim
Bottle Open Pour Fizz.wav,A pessoa está em uma área movimentada com muitas pessoas?,não
Underwater Noise restless 01 140704_0285.wav,Isso está dentro de uma casa?,não
PS3F_FOZ_centro_onibus AvJKchegando no Terminal_Dia.wav,Os pássaros estão cantando?,não
Soft rain in Berlin with thunder in background.wav,As pessoas estão rindo?,não
Dutch air raid 140804_0338.wav,As pessoas estão gritando?,não
Car up over canal bridge.wav,Isso está perto de uma estrada?,sim
FP_Drainage_System_Water_Drip.wav,O petróleo poderia estar fritando?,sim
Garden ambience.wav,Um homem diz uma palavra?,não
smallgrocery.wav,Eles estão lá fora?,não
Train left to right.wav,Existem pássaros cantando?,não
Industrial Heating Vent.wav,O som permanece estável o tempo todo?,sim
construction_rubber_mallet_01.wav,Existe espirros?,não
File clicking open.wav,Alguém está explodindo a música Screto?,não
"Copper Tea Kettle, water, boil, whistle_1.wav",A água está fervendo?,sim
Giant 1.wav,Existe uma pessoa na área?,sim
cars_pass_01_070812.wav,Existe algum trem?,sim
propplaneflyover.wav,Um pássaro chilreando?,sim
Gazpoile_long.wav,Há pessoas falando?,não
STE-011 broadway bridge traffic.wav,É um animal?,não
RowanMagennis_160019_SD100_PageTurning.wav,Um humano está lidando com o papel?,sim
Cable rustling 1-01.R.wav,As pessoas são ouvidas?,sim
metal clink.wav,Algo cai?,não
Eerie Shimmer.wav,Isso soa como um sino?,não
big pit winder.wav,Um barulho de um animal poderia ser ouvido?,não
20090619.air.conditioner.wav,É um som que um humano faria?,não
Booklet_-_Leaf_through_01_L_Close_R_Distant.wav,Existe um trem passando?,sim
Baking dish picked up put down.wav,Um cachorro está latindo?,não
STE-005.wav,O som é alto e ameaçador?,não
barrelhits.wav,O objeto que treme e vibrações parece ser fino?,sim
"Kingdoms of the Night (A Virtual Walk-Through of the Swamp, Sans Feet.wav",A água fica gradualmente mais alta?,sim
windy porch morning B.wav,há alguém falando?,sim
wastecollection.wav,Um carro está buzinando?,sim
wawawawawwawawawwaterrings.wav,É um som natural?,não
by a busy road background.wav,Um gato está miando?,não
Burco Conveyer Toaster running.wav,A máquina está fazendo um ruído estridente?,sim
CarFerrySeaDogsPeople.wav,Existem muitas pessoas na área?,sim
20070406.car.engine.00.wav,Há pessoas conversando no carro?,não
Spring Rain 1.wav,Existe uma grande tempestade?,não
Bird Song.wav,Os animais estão fazendo o barulho nos chimpanzés de fundo?,não
MrM_OldAutoFocus_Nikon2020.wav,A estática entra e sai?,sim
Construction work in progress.wav,Há cantando em primeiro plano?,sim
Seashore Atmos LW2.wav,Isso está em uma localização interna?,sim
CoinSpin.wav,Eles são círculos moldados?,sim
birds-Udaipur-Saheliyon-Ki-Bari.wav,Os pássaros estão quietos?,não
