file_name,QuestionText,answer
cow bells.wav,¿Es un ratón chirriante?,No
INT Bedroom tone 4 with bird.wav,¿Es eso un sonido de un perro?,No
Thunder.wav,¿El trueno es ruidoso?,Sí
birds_long.wav,¿Hay varios animales haciendo ruido?,Sí
doorbell old.wav,¿Se golpea una campana repetidamente?,Sí
Oven Door.wav,¿Un objeto de acero golpea algo al final?,Sí
Old Phone_01.wav,¿El teléfono sonando suavemente?,Sí
Metallic Lingo.wav,¿Se está levantando y caída un trozo de metal?,No
wawawawawwawawawwaterrings.wav,¿Se está reproduciendo la música de SciFi?,Sí
airplane01.wav,¿Es este un avión de hélice?,No
Thunder - 1.wav,¿Está hablando un hombre?,No
Zoo2-20130725.wav,¿Son estos sonidos de animales?,Sí
Playing With Tin Foil.wav,¿Se están utilizando las manos en este objeto?,Sí
kipgeluid.wav,¿Están las gallinas posibles?,Sí
plasglass.wav,¿Hay una melodía?,No
smoking in car.wav,¿Alguien está tratando de encender algo?,Sí
Omni_Ambiental_PublicKitchen.wav,¿Hay pelota rebotando?,No
water_splashes_in_a_tube.wav,¿Alguien está sirviendo una taza de café?,No
Signal of the police car.wav,¿La sirena hace un sonido continuo?,Sí
Grand Union Canal Kensal Green.wav,¿Hay ladridos?,Sí
TRAN_Plane_PropSpin_01.wav,¿Hay zumbido?,Sí
RhythmicSC.wav,¿Hay un pestillo?,Sí
Fountain Trompenburg 090928.wav,¿Se puede escuchar el agua?,Sí
"2009-07-23_1730_Serralves, Fountain recorded between the fountains.wav",¿Es audible un modo de transporte?,Sí
down stairs running 1.wav,¿Hay pisotones?,Sí
Run and Splash 03.wav,¿La persona termina el trabajo al final del video?,Sí
microwave.oven.wav,¿Es una aspiradora?,No
writing_pencil_2.wav,¿Alguien está escribiendo?,Sí
MrM_OldAutoFocus_Nikon2020.wav,¿Alguien está escuchando música?,No
Thunder - Guangzhou - China - Quiet.wav,¿El agua es audible porque alguien se está duchando?,No
shufflingdirt.L.wav,¿Están pasando los autos?,No
harbour scene 1.wav,¿Se pueden escuchar a los niños?,Sí
"Marratxi_Melding_1e trein van spoor 2_is met bestemming_Palmamelding, dat trein op alle tussengelegen stations zal stoppen_100311.wav",¿Está hablando una persona?,Sí
Int. Car Drive 1.wav,¿Hay agua?,No
SeaShell_02.wav,¿Es suscripción?,Sí
souffle_me_tallique.wav,¿El sonido se detiene alguna vez?,No
market2.wav,¿Están ladrando los perros?,No
bamboo_wind_chimes_1.wav,¿Están producidos diferentes sonidos por el instrumento?,Sí
Run and Splash 03.wav,¿Alguien está gritando?,No
Rock-various hits.wav,¿Alguien está moviendo una pieza?,Sí
eating_cabbage.wav,¿La persona está masticando algo blando?,No
Tsaritsyno-Park. Spring.wav,¿Hay humanos?,No
raininwoods.wav,¿La gente está hablando en voz alta?,Sí
a flag is waving at the pole.wav,¿El ruido implica algo líquido?,No
it_has_just_begun.wav,¿Se están disparando fuegos artificiales?,Sí
Pencil Scratch 2.wav,¿Alguien está escribiendo?,Sí
05 hn_PittsPennLincoln.wav,¿Están jugando los niños en un parque?,Sí
Small Creek.wav,¿Las olas se están estrellando contra la orilla?,No
"Bells of St Alkelda&#39;s Church, Giggleswick, England.wav",¿Hay más de una campana?,Sí
20091225.rain.01.wav,¿Está esto en un entorno de oficina?,No
Rummaging through Items.wav,¿La persona está hablando mientras se muda?,No
AmbianceBackyard_Quiet_bip.wav,¿Hay personas teniendo una conversación?,No
Summer waves at Charmouth beach in Dorset.wav,¿Hay olas?,Sí
Diesel train arrives and departs 2.wav,¿El motor se vuelve más fuerte y suave?,Sí
icy_road.wav,¿La persona está usando un martillo?,No
keurigcoffee.wav,¿Hay muchos tipos diferentes de sonidos?,Sí
city pouring rain.wav,¿Es esto afuera?,Sí
granularm.wav,¿Es esto una radio?,No
Turning Book Pages.wav,¿Es este el sonido del papel?,Sí
book_light_noise.wav,¿Una persona camina rápido?,Sí
"Collingwood bees, bumble bees.wav",¿Hay múltiples seres vivos haciendo ruido en esta grabación?,Sí
chicken_freesound.wav,¿El pollo coloca sus alas?,No
Humming of a fan.wav,¿Hay tarareando en el fondo?,Sí
Ambulance Siren.wav,¿Un animal está haciendo el ruido?,No
Natural Ambience 01.wav,¿Se puede escuchar un avión volando?,No
Collob church bells 2.wav,¿Alguien está jugando un piano?,No
TRAN_Plane_PropSpin_01.wav,¿Un tren silban?,No
by a busy road background.wav,¿Alguien está gritando?,No
WinterWren1.wav,¿Se puede escuchar la voz de una persona?,Sí
WinterWren1.wav,¿Hay una mujer hablando?,No
pages turning.wav,¿Se puede escuchar a los pájaros chirriar?,No
Truck Brakes.wav,¿Algo va más rápido y luego más lento repetidamente?,Sí
the sound of a forest after rain _ drops falling on ferns rear.wav,¿Hay un animal alrededor?,Sí
"woodpecker, wind and dogs.wav",¿Hay pájaros alrededor?,Sí
wood1.wav,¿La persona que cortó los registros hizo algún sonido?,Sí
Unseathing &amp; Wobble.wav,¿Se rompe un vaso?,No
20092007.strike.wav,¿Hay una tormenta?,No
Shaking Gate.wav,¿Este sonido proviene de algo suave?,No
FlushToilet.wav,¿Está sonrojado un inodoro?,Sí
160903 Dunrobin Croquet.wav,¿Está la roca en el agua?,Sí
crackling-rain-fire.wav,¿Hay alguna explosión?,No
37_night_kasanga.wav,¿Hay barcos de pesca?,No
R05_0526.wav,¿Se está preparando algo?,Sí
md9trk4.wav,¿El vehículo se detiene?,No
Spring.wav,¿Es este el sonido del líquido?,Sí
Pushing a metal fence.wav,¿El sonido se vuelve más rápido al final?,Sí
Wood chopping ambience.wav,¿Este sonido implica cambiar la apariencia visual de algo?,Sí
080912_00_grinder_wood.wav,¿Podría ser este el sonido de un vacío?,Sí
14.12.2011.002.wav,¿Están las personas que luchan entre sí?,No
Pensol - le Moulin cours d&#39;eau.wav,¿Fue un elemento de la naturaleza en la grabación?,Sí
Streaming.wav,¿Es un récord roto?,No
Walking in Circles around fountain.wav,¿Hay un viento fuerte?,Sí
rain water drops on metal roof.wav,¿Es esto un coche?,No
PassingCars.wav,¿Ha estado lloviendo?,Sí
keurig-coffe-maker.wav,¿Un hombre está maldiciendo?,No
file0699_4_birdsong.wav,¿Es esto afuera?,Sí
Narrowboat - Output - Stereo Out.wav,¿Es esto fuerte?,Sí
crow_magpie_ambience_1.wav,¿Están afuera?,Sí
wood desk Open and close.wav,¿Se escuchan los sonidos de la naturaleza?,No
rain_session_thunder2_2006.wav,¿Hay pájaros chirriando?,Sí
Metallic Strums.wav,¿Es el último sonido en la música popular?,Sí
OCELLS MIRADOR .wav,¿La persona está cantando?,Sí
Baking dish picked up put down.wav,¿Se está raspando algo?,Sí
Brushing teeth at a medium pace.wav,¿Alguien está escupiendo en el fregadero?,No
