file_name,QuestionText,answer
buzzing bee 3 multi.wav,क्या कीड़े शोर कर रहे हैं?,हाँ
immersion in a bath and getting out of the bath.wav,क्या वे शेविंग कर रहे हैं?,नहीं
Chime.wav,क्या इको ध्वनि तरंगें पिच में भिन्न होती हैं?,हाँ
md10trk3.wav,क्या लोग बातचीत कर रहे हैं?,नहीं
easter morning birdsong.wav,क्या यह एक पक्षी की तरह लगता है?,हाँ
Shanghai Traffic Near Peoples Square.wav,क्या आवाजें हैं?,हाँ
Geese - Chatter 1 - 96kHz.wav,क्या घोड़े को सुना जा सकता है?,हाँ
underWater001.wav,क्या यह पानी है?,हाँ
"Cruiseship - inside, crew cabin at night.wav",क्या पृष्ठभूमि में अन्य शोर हैं?,हाँ
20150330_09.passing.car.day.wav,क्या वाहन अंत में दूर चला जाता है?,हाँ
bird.wav,क्या कोई चल रहा है?,हाँ
waterpipesandworkers.wav,क्या आरी बीच में बंद हो जाती है?,नहीं
shopping-cart-rattle.wav,क्या धातु की आवाज़ हैं?,हाँ
outdoor ambience city union square park voices footsteps distant traffic.wav,क्या घंटियाँ हैं?,नहीं
stream5.wav,क्या यह पानी है?,हाँ
00214 supermarket entrance 1.wav,क्या लोग बोल रहे हैं?,हाँ
_Stream 4 at Krka falls.wav,क्या बारिश हो रही है?,हाँ
Lassen.wav,क्या शोर स्थिर है?,हाँ
CoinSpin.wav,क्या आइटम धातु से बना है?,हाँ
walking-gravel.wav,क्या नक्शेकदम की गति बढ़ती है?,नहीं
Turning Book Pages.wav,क्या यह कागज की आवाज़ है?,हाँ
R09_0005 bird ambience.wav,क्या यह एक सड़क मार्ग के पास है?,हाँ
Kings Cross street sounds.wav,क्या लोग बात कर रहे हैं?,नहीं
circadas-near-casino.wav,क्या शोर सुसंगत है?,हाँ
Bus3.wav,क्या कई लोग हैं?,हाँ
hereg_hungary__grain_field_1_20080712.wav,क्या लोग गा रहे हैं?,नहीं
Olive Oil.wav,क्या ध्वनि तरल से आ रही है?,हाँ
20100401.brussels.01.wav,क्या घंटी एक से अधिक बार रिंग करती है?,हाँ
construction_rubber_mallet_01.wav,हैमरिंग जोर से है?,हाँ
train in the field.wav,क्या भारी बारिश हो रही है?,नहीं
d0_drips_03.wav,टीवी चालू है?,नहीं
salle.spectacle.remplie.wav,क्या अंतरिक्ष में भीड़ है?,हाँ
Shaking Gate.wav,क्या यह ध्वनि कुछ नरम से आती है?,नहीं
Coyote -crickets &amp; dogs in a pine forest mid night .wav,क्या आसपास के जानवर हैं?,हाँ
Nord_Odal_Nyhus_04_juni_2011_quiet_forest_birds_insects_distant_chainsaw_01.wav,क्या सिर्फ शोर करने वाले जानवरों से ज्यादा थे?,हाँ
Car up over canal bridge.wav,क्या यह एक सड़क के पास है?,हाँ
Forest murmur .wav,क्या ये शोर बाहर हैं?,हाँ
raindrops_metalcover.wav,क्या कारें सम्मानित कर रही हैं?,नहीं
Collob church bells 2.wav,एक घंटी बज रही है?,हाँ
gas cooker.wav,क्या कोई कुत्ता भौंक रहा है?,नहीं
SuburbRain_Indoor.wav,क्या ध्वनि मात्रा में बदलती है?,हाँ
20071229.cooing.wav,क्या लोग पृष्ठभूमि में बात कर रहे हैं?,हाँ
