file_name,QuestionText,answer
AmbianceBackyard_Quiet_bip.wav,¿Hay más de un pájaro graznido?,Sí
AmbianceBackyard_Quiet_bip.wav,¿Hay más de un pájaro graznido?,Sí
AmbianceBackyard_Quiet_bip.wav,¿Hay más de un pájaro graznido?,Sí
AmbianceBackyard_Quiet_bip.wav,¿Hay personas teniendo una conversación?,No
AmbianceBackyard_Quiet_bip.wav,¿Hay personas teniendo una conversación?,No
AmbianceBackyard_Quiet_bip.wav,¿Hay personas teniendo una conversación?,No
AmbianceBackyard_Quiet_bip.wav,¿Están estos animales afuera?,No
AmbianceBackyard_Quiet_bip.wav,¿Están estos animales afuera?,Sí
AmbianceBackyard_Quiet_bip.wav,¿Están estos animales afuera?,Sí
AmbianceBackyard_Quiet_bip.wav,¿Hay solo un pájaro sqauwking?,No
AmbianceBackyard_Quiet_bip.wav,¿Hay solo un pájaro sqauwking?,No
AmbianceBackyard_Quiet_bip.wav,¿Hay solo un pájaro sqauwking?,No
20110121_cranes.wind.wav,¿Es un perro que hace el ruido?,No
20110121_cranes.wind.wav,¿Es un perro que hace el ruido?,No
20110121_cranes.wind.wav,¿Es un perro que hace el ruido?,No
20110121_cranes.wind.wav,¿Está un pájaro cerca y un pájaro lejos?,Sí
20110121_cranes.wind.wav,¿Está un pájaro cerca y un pájaro lejos?,Sí
20110121_cranes.wind.wav,¿Está un pájaro cerca y un pájaro lejos?,Sí
20110121_cranes.wind.wav,¿Hay una persona gritando?,No
20110121_cranes.wind.wav,¿Hay una persona gritando?,No
20110121_cranes.wind.wav,¿Hay una persona gritando?,No
20110121_cranes.wind.wav,¿Es esto afuera?,Sí
20110121_cranes.wind.wav,¿Es esto afuera?,Sí
20110121_cranes.wind.wav,¿Es esto afuera?,Sí
EXT Steel works far.wav,¿Están escuchando la radio?,No
EXT Steel works far.wav,¿Están escuchando la radio?,No
EXT Steel works far.wav,¿Están escuchando la radio?,No
EXT Steel works far.wav,¿Se está dejando caer un objeto?,Sí
EXT Steel works far.wav,¿Se está dejando caer un objeto?,Sí
EXT Steel works far.wav,¿Se está dejando caer un objeto?,Sí
EXT Steel works far.wav,¿Alguien está trabajando?,Sí
EXT Steel works far.wav,¿Alguien está trabajando?,Sí
EXT Steel works far.wav,¿Alguien está trabajando?,Sí
EXT Steel works far.wav,¿Hay una carretilla elevadora presente?,Sí
EXT Steel works far.wav,¿Hay una carretilla elevadora presente?,No
EXT Steel works far.wav,¿Hay una carretilla elevadora presente?,Sí
Walking in Circles around fountain.wav,¿Se puede escuchar cualquier animal en la distancia?,Sí
Walking in Circles around fountain.wav,¿Se puede escuchar cualquier animal en la distancia?,Sí
Walking in Circles around fountain.wav,¿Se puede escuchar cualquier animal en la distancia?,Sí
Walking in Circles around fountain.wav,¿Alguien inhala bruscamente?,Sí
Walking in Circles around fountain.wav,¿Alguien inhala bruscamente?,No
Walking in Circles around fountain.wav,¿Alguien inhala bruscamente?,No
