file_name,QuestionText,answer
AmbianceBackyard_Quiet_bip.wav,Há mais de um pássaro gritando?,sim
AmbianceBackyard_Quiet_bip.wav,Há mais de um pássaro gritando?,sim
AmbianceBackyard_Quiet_bip.wav,Há mais de um pássaro gritando?,sim
AmbianceBackyard_Quiet_bip.wav,Há pessoas conversando?,não
AmbianceBackyard_Quiet_bip.wav,Há pessoas conversando?,não
AmbianceBackyard_Quiet_bip.wav,Há pessoas conversando?,não
AmbianceBackyard_Quiet_bip.wav,Esses animais estão lá fora?,não
AmbianceBackyard_Quiet_bip.wav,Esses animais estão lá fora?,sim
AmbianceBackyard_Quiet_bip.wav,Esses animais estão lá fora?,sim
AmbianceBackyard_Quiet_bip.wav,Existe apenas um pássaro Sqauwking?,não
AmbianceBackyard_Quiet_bip.wav,Existe apenas um pássaro Sqauwking?,não
AmbianceBackyard_Quiet_bip.wav,Existe apenas um pássaro Sqauwking?,não
20110121_cranes.wind.wav,É um cachorro fazendo barulho?,não
20110121_cranes.wind.wav,É um cachorro fazendo barulho?,não
20110121_cranes.wind.wav,É um cachorro fazendo barulho?,não
20110121_cranes.wind.wav,Um pássaro está perto e um pássaro está longe?,sim
20110121_cranes.wind.wav,Um pássaro está perto e um pássaro está longe?,sim
20110121_cranes.wind.wav,Um pássaro está perto e um pássaro está longe?,sim
20110121_cranes.wind.wav,Há uma pessoa gritando?,não
20110121_cranes.wind.wav,Há uma pessoa gritando?,não
20110121_cranes.wind.wav,Há uma pessoa gritando?,não
20110121_cranes.wind.wav,Isso está lá fora?,sim
20110121_cranes.wind.wav,Isso está lá fora?,sim
20110121_cranes.wind.wav,Isso está lá fora?,sim
EXT Steel works far.wav,Eles estão ouvindo o rádio?,não
EXT Steel works far.wav,Eles estão ouvindo o rádio?,não
EXT Steel works far.wav,Eles estão ouvindo o rádio?,não
EXT Steel works far.wav,Um objeto está sendo descartado?,sim
EXT Steel works far.wav,Um objeto está sendo descartado?,sim
EXT Steel works far.wav,Um objeto está sendo descartado?,sim
EXT Steel works far.wav,Alguém está trabalhando?,sim
EXT Steel works far.wav,Alguém está trabalhando?,sim
EXT Steel works far.wav,Alguém está trabalhando?,sim
EXT Steel works far.wav,Existe uma empilhadeira presente?,sim
EXT Steel works far.wav,Existe uma empilhadeira presente?,não
EXT Steel works far.wav,Existe uma empilhadeira presente?,sim
Walking in Circles around fountain.wav,Algum animal pode ser ouvido à distância?,sim
Walking in Circles around fountain.wav,Algum animal pode ser ouvido à distância?,sim
Walking in Circles around fountain.wav,Algum animal pode ser ouvido à distância?,sim
Walking in Circles around fountain.wav,Alguém inspira bruscamente?,sim
Walking in Circles around fountain.wav,Alguém inspira bruscamente?,não
Walking in Circles around fountain.wav,Alguém inspira bruscamente?,não
Walking in Circles around fountain.wav,Existe um vento forte?,sim
Walking in Circles around fountain.wav,Existe um vento forte?,não
Walking in Circles around fountain.wav,Existe um vento forte?,sim
Walking in Circles around fountain.wav,A gravação foi feita lá fora?,sim
Walking in Circles around fountain.wav,A gravação foi feita lá fora?,sim
Walking in Circles around fountain.wav,A gravação foi feita lá fora?,sim
20070819.fjord.beach.00.wav,Existem vários falcões por perto?,sim
20070819.fjord.beach.00.wav,Existem vários falcões por perto?,não
20070819.fjord.beach.00.wav,Existem vários falcões por perto?,não
20070819.fjord.beach.00.wav,Esse som envolve movimento?,sim
