file_name,QuestionText,answer
august_rain-007.wav,As gotas de chuva são pequenas?,sim
nature-waterfall-Blaafarveverket-090721.wav,Isso soa como água correndo?,sim
soda in ice.wav,Existe um objeto sendo aberto?,sim
steam radiator.wav,É um mecanismo de drenagem?,sim
Nordschleife_Vorkriegsrennwagen_1.wav,Esses dispositivos podem voar?,não
Pegasus running.wav,O homem pode ser ouvido rindo?,não
River far 1.wav,isso é água?,sim
_Stream 4 at Krka falls.wav,está chovendo?,sim
Tiny bells.wav,O som é minúsculo?,sim
Soft rain in Berlin with thunder in background.wav,As pessoas estão rindo?,não
Car up over canal bridge.wav,Isso está perto de uma estrada?,sim
FP_Drainage_System_Water_Drip.wav,O petróleo poderia estar fritando?,sim
Garden ambience.wav,Um homem diz uma palavra?,não
construction_rubber_mallet_01.wav,Existe espirros?,não
File clicking open.wav,Alguém está explodindo a música Screto?,não
"Copper Tea Kettle, water, boil, whistle_1.wav",A água está fervendo?,sim
Giant 1.wav,Existe uma pessoa na área?,sim
propplaneflyover.wav,Um pássaro chilreando?,sim
Gazpoile_long.wav,Há pessoas falando?,não
STE-011 broadway bridge traffic.wav,É um animal?,não
RowanMagennis_160019_SD100_PageTurning.wav,Um humano está lidando com o papel?,sim
Cable rustling 1-01.R.wav,As pessoas são ouvidas?,sim
metal clink.wav,Algo cai?,não
20090619.air.conditioner.wav,É um som que um humano faria?,não
Baking dish picked up put down.wav,Um cachorro está latindo?,não
STE-005.wav,O som é alto e ameaçador?,não
barrelhits.wav,O objeto que treme e vibrações parece ser fino?,sim
"Kingdoms of the Night (A Virtual Walk-Through of the Swamp, Sans Feet.wav",A água fica gradualmente mais alta?,sim
by a busy road background.wav,Um gato está miando?,não
Burco Conveyer Toaster running.wav,A máquina está fazendo um ruído estridente?,sim
Spring Rain 1.wav,Existe uma grande tempestade?,não
wiping_wet_paper.wav,A pessoa está fazendo o som inconsciente?,não
contact_floor_lamp.wav,O objeto está sendo atingido de metal?,sim
20061224.car.starting.wav,o motor começou?,sim
Booklet_-_Leaf_through_01_L_Close_R_Distant.wav,Alguém está procurando algo em um livro?,sim
Metal spoon on china plate.wav,Existe uma voz humana?,não
Traffic in Rue Blanche - Paris - France.wav,Alguém está cozinhando em uma grelha?,não
Ubud Crickets.wav,O inseto está próximo?,não
Grinder.wav,Alguém fala?,não
The Big Circle.wav,Os pássaros estão cantando?,não
Relaxing stream underwater SHORT 141015_0442.wav,Existe um fluxo constante de água?,sim
Packaging Paper Pen Scribble.wav,Alguém está falando?,não
"Shopping Mall, ambience.wav",As pessoas estão falando em segundo plano?,sim
Distant train with birds.wav,Existe um ronronar de gato?,não
YANN SDB SARAH.wav,Uma pessoa fala?,não
air show flyby 2007-08-18.wav,O veículo se aproxima e se move mais longe?,sim
microwave_sounds.wav,A máquina bipe após os bipes iniciais?,sim
DePanne.wav,O lugar chuvoso está ventando?,sim
Half bathroom with some toilet noise.wav,Alguém está gravando algo com fita de embalagem?,não
"Early morning in back garden (birds, faint traffic) - DR-100 (omni) - amplified in audacity.wav",As pessoas estão fazendo barulho?,não
120127_0000 train-interior-conversations.wav,Várias pessoas estão falando?,sim
scraping seeds from a squash.wav,Existe um som de raspagem?,sim
Alaska Airlines.wav,A pessoa está falando um profissional?,sim
Door creaking.wav,isso é uma voz?,não
printer.wav,Existe um ruído mecânico?,sim
AbdnC_KingStPelican_120225.wav,Um pato está gritando?,não
charles shurz park.wav,O barulho é principalmente estável?,sim
md10trk3.wav,Existe um zumbido de máquinas?,sim
Pet Store Ambience.wav,O ruído da máquina é constante?,sim
train boat.wav,Isso é um som e motor?,sim
Run and Splash 03.wav,Algo está sendo lavado?,sim
Oven Door.wav,Um objeto de aço bate em algo no final?,sim
AbdnC_KingStPelican_120225.wav,O som foi gravado lá fora?,sim
steel water.wav,Há pessoas falando?,não
FootstepsUpstairs.wav,Este som está dentro?,sim
birds_long.wav,Os animais estão atacando um ao outro?,não
2 08 Br Lib 2 amb kids.wav,Alguém desceu a escada?,sim
Gurgling.wav,Existe um líquido por perto?,sim
Thick liquid bubble 2.wav,O som fervente é consistente?,sim
Rummaging through Items.wav,A pessoa está falando enquanto se move?,não
Booklet_-_Leaf_through_01_L_Close_R_Distant.wav,Alguém está lançando páginas?,sim
Footsteps_Sneakers_Wet Sidewalk-01.R.wav,Barking pode ser ouvido?,não
Remix of 101980__pyr0x__growl_variants.wav,Existem insetos?,não
Bottle Open Pour Fizz.wav,algo é derramado?,sim
shopping-cart-rattle.wav,Existe um gato?,não
water_flows_through_crack_in_rocks.wav,Existe movimento?,sim
SFX_CHEERS-Bottle-CLANK_Beer-n-Wine.wav,Dois óculos estão sendo atingidos juntos?,sim
in Park.wav,Um alarme de incêndio está disparando?,não
souffle_me_tallique.wav,Há alguém cantando?,não
"swimming pool, night, street in background.wav",Está molhado lá fora?,sim
AutoViolinTest New Blast.wav,O barulho fica mais intenso?,sim
barrelhits.wav,Algo está impactando com uma superfície dura?,sim
"ICE passing by, then an ambulance with siren.wav",Um carro está miando?,não
hisscrackle.wav,algo está sendo cozido?,sim
AmbianceBackyard_Quiet_bip.wav,Existe apenas um pássaro Sqauwking?,não
Alaska Airlines.wav,Uma mulher está falando?,sim
Footsteps outside - Including ambience.wav,Existe alguma música?,não
Dog and crow under the rain in the alpine forest.wav,Isso está lá fora?,sim
Footdrags Dirt.wav,Alguém está se movendo?,sim
Galaktisk time signal.wav,Uma pessoa está usando um objeto para fazer esse som?,sim
02668 stripwood noises.wav,Algo está sendo empilhado?,sim
microwave_sounds.wav,A pessoa diz alguma coisa depois de operar a máquina?,não
microwave_sounds.wav,O zumbido da máquina para?,sim
CONTACT MIC BOILING WATER 01.wav,Há muitas pessoas falando em segundo plano?,não
md4trk7.wav,O ruído é repetitivo?,sim
"Wind in a field recorded close to the ground in New Mexico, USA.wav",É um dia ventoso?,sim
Olive Oil.wav,algo está pulverizando?,sim
magazinedrop.wav,O item é descartado várias vezes?,sim
kitchen metal.wav,Isso tem uma melodia?,não
Outdoors rumble.wav,O carnaval está tocando?,não
Rain and Thunder.wav,É provável que haja um raio?,sim
Hamamatsu-birds-central-station.wav,são esses animais?,sim
Random Tones (decreasing durations).wav,são os sons de natureza eletrônica?,sim
CreakingNoise.wav,Algo está sendo comprimido?,sim
STE-011 broadway bridge traffic.wav,Esse som parece perto?,sim
airplane01.wav,Este é um motor poderoso?,sim
wind-up toy.wav,Existe um som de vozes das pessoas?,não
SummerSwellingInsectsFerneCliff.wav,há alguém falando?,não
Tortured Apple 03.wav,A substância é pegajosa?,sim
footstep on wood foley.wav,A pessoa está descendo um slide?,sim
Fountain 1.wav,Um jato pode ser ouvido voando acima?,não
1990 repetition brass-band 01.wav,Um caminhão de bombeiros passou?,não
outdoors ambient distant village.wav,Isso acontece ao ar livre?,sim
Serin.wav,Existem pássaros por aí?,sim
Crows.wav,Um cachorro latindo ao fundo?,não
41_STEAM.wav,Um coral está cantando?,não
Paging through book.wav,As páginas de um livro estão girando?,sim
Ubud Crickets.wav,Existe um inseto?,sim
Heavy rain - some people 2.wav,Existem vários animais clamando?,não
Crows.wav,Existem animais por perto?,sim
dish drumroll metal spoons.wav,algo quebra?,não
Walking_up_the_hill.wav,Alguém está andando nas rochas?,sim
Singing Birds.wav,Este animal voa?,sim
Wood Floor.wav,Um item rura?,sim
Mensen op de achtergrond.001.wav,Uma pessoa grita com outra?,não
Walking along Highway.wav,Existem carros passando?,sim
Feria.wav,Existem apenas duas pessoas se comunicando?,não
magazinedrop.wav,O padrão do item está sendo descartado parece aleatório?,sim
20110121_cranes.wind.wav,Há uma pessoa gritando?,não
FlyingOnAPlane.wav,Existem vozes humanas?,sim
urinal.wav,Existe um dreno?,sim
Sink and Water.wav,Este dispositivo está sendo operado manualmente?,sim
Remix of 101980__pyr0x__growl_variants.wav,O rosnado está alto?,sim
20100418.marshes.storm.01.wav,Os animais estão dentro?,não
Footdrags Dirt.wav,Existem vários indivíduos realizando essa ação?,não
noisy street.wav,Isso soa como uma estrada com carros e caminhões funcionando?,sim
Burco Conveyer Toaster running.wav,Um som de agitação pode ser ouvido?,sim
sultanahmet square.wav,Existe um cachorro latindo?,não
knock on wood.wav,Eles batem com seus nós dos dedos inicialmente?,sim
Otari Walk.wav,Existem crianças?,sim
Tsaritsyno-Park. Spring.wav,Existem humanos?,não
Omni_Ambiental_PublicKitchen.wav,Há bola saltando?,não
Thunder - 1.wav,O tempo está ruim?,sim
PAPER_PULLED_FROM_PURSE.wav,Existem homens e mulheres presentes?,sim
rattledoor.wav,algo está agitando?,sim
glass (1).wav,Um instrumento musical está sendo tocado?,sim
Pegasus running.wav,O veículo está lá fora?,sim
Dawn_chorus_5AM.wav,Algum animais estão rosnando?,não
31 hn_door4.wav,Alguém está abrindo e fechando uma porta?,sim
Thunder - 1.wav,Os pássaros podem ser ouvidos gritando?,não
market3.wav,está mais de uma voz falando?,sim
Crowd in a local market.wav,As pessoas estão em um lugar lotado?,sim
walking-wooden-bridge-fall-leafs-creek.wav,Alguém está andando?,sim
Dribbling water.wav,"Depois que a água corre, a torneira está desligada?",sim
outdoors ambient distant bird.wav,Isso está ao ar livre?,sim
MAN BREATHING.wav,Alguém está respirando?,sim
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,O animal ouvido aqui vive pela água?,sim
T12_Huber_Walking on Gravel.wav,A pessoa está andando a uma velocidade normal?,sim
egg beater.wav,Os animais são ouvidos?,não
kikkers.wav,Existem insetos?,sim
Stepping in puddles w ambient rain.wav,Há espirrando em primeiro plano?,sim
easter morning birdsong.wav,Parece um pássaro?,sim
"09-07-16_1757_Afurada, next to the water in the habour.wav",O líquido está se movendo?,sim
Sundsvall Harbour.wav,Os pássaros estão lá fora?,sim
west ham bubbles.wav,A música está acompanhando a música?,não
Hamamatsu-birds-central-station.wav,Existe apenas um animal fazendo um som?,não
Foley Footsteps - with processing.wav,A pessoa é uma mulher?,não
"Beach Waves, Praia Grande.wav",As pessoas estão gritando?,não
Radio Fuzz for Old Radio Broadcast FF233.wav,O estalido estático está ocasionalmente?,sim
"Cicadas (Euboea, Greece).wav",Muitos tipos diferentes de criaturas estão presentes?,sim
Stairwell with echo Front.wav,A pessoa está descalça?,não
Grand Prix 2.wav,Isso está lá fora?,sim
Water Boiling in Small Pot_1-2.wav,Existe um gato?,não
Plusieurs_Chaises_Glissent.wav,Uma vaca está fazendo esse barulho?,não
passenger train bells.wav,Existem crianças gritando?,não
Kitchen.PlatesSraping.Faucet.wav,Alguém está segurando a louça?,sim
knock on wood.wav,Eles batem suavemente da última vez que batem?,não
RBH_Household_Bathroom fan.wav,Alguém está falando?,não
CountrySideSummerEvening.wav,O cachorro está latindo em voz alta?,sim
Radio Static 1 (wav).wav,Algo está sendo destruído?,não
fdv_machine_a_ecrire.wav,A pessoa está digitando muito lentamente?,não
01 barreau bunker original.wav,O item é atingido reverberate?,sim
Remix of 101980__pyr0x__growl_variants.wav,A respiração ou ronco fica mais profundo e mais com o tempo?,sim
Bus3.wav,Existe um cachorro?,não
construction equipment tracked.wav,O motor mantém um Thrum constante por toda parte?,sim
Stream Honiton.wav,Os pássaros estão cantando?,sim
Strong Wind through leaves.wav,O som flutua?,sim
Rain On A Window.wav,As pessoas estão falando?,não
airplane01.wav,O som só fica mais suave?,não
Nord_Odal_Nyhus_04_juni_2011_quiet_forest_birds_insects_leaf_rustle_02.wav,Isso é humano?,não
Washing Machine Water Filling Up.wav,Os animais estão fazendo barulho?,não
Washing Hands.wav,Existe líquido aqui?,sim
open and close umbrella.wav,Uma pessoa está falando consigo mesma?,não
20060426.marsh.crikets.day.stereo.02.wav,Existem pássaros cantando?,sim
SYnth_NoisesAX9.wav,Os sons são eletrônicos?,sim
stream5.wav,Isso é um carro?,não
STE-014-lisbonfountain01.wav,Uma pessoa suspira?,não
cooking pasta.wav,O líquido pode ser ouvido?,sim
MISC_Police_Siren_Int_Onboard_003.wav,O motor do carro é a única coisa fazendo barulho?,não
Toy Car.wav,Alguém está fazendo um ruído de raspagem?,sim
41. hangers on rack.wav,Existe um som de metal?,sim
INT Bedroom tone 1.wav,Um cachorro está latindo?,não
20070819.fjord.beach.00.wav,Esse som envolve movimento?,sim
am band static.wav,Isso está em um show?,sim
Tortured Apple 01.wav,Alguém está gritando?,sim
20090102.street.noise.wav,A sirene está se afastando da pessoa andando?,sim
"October night, cicadas, crickets, jet flyover.wav",Existe um avião no alto?,sim
Sink_Running_Water.wav,A água pode ser ouvida borbulhando?,sim
20080614.bells.wav,Existem pássaros em segundo plano?,sim
lets_go_to_see_it.wav,As pessoas estão falando?,não
westend 3.wav,As crianças estão cantando?,não
Ketchup Farts.wav,O som para no meio?,não
back yard ambience loop 11-06-14.wav,Alguém está lavando a louça em uma pia de água?,não
auto5.wav,Um veículo está acelerando?,sim
120720loudestthunder.wav,Isso está lá fora?,sim
FootstepsUpstairs.wav,O chão estava rangendo quando as pessoas se moviam?,sim
Remix of 101674__Robinhood76__01906_aluminium_foil_&#39;space-alien radio-static remix&#39;.wav,Existe um coral cantando?,não
20091225.garage.door.wav,Há trabalho sendo feito por uma máquina?,sim
Box opened.wav,Isso é um sapo?,não
squeeks raw.wav,As peças de metal estão se tocando?,sim
hereg_hungary__grain_field_1_20080712.wav,As pessoas estão cantando?,não
Truck Brakes.wav,Algo está indo mais rápido e mais lento repetidamente?,sim
promenade_Lanzarote_kids_people_talking_bicycles_AMB_EXT.wav,Um pássaro está cantando?,não
Otari Walk.wav,Isso está ao ar livre?,sim
Windstorm.wav,O objeto está fazendo o barulho estacionário?,sim
rollingthunder01.wav,O som sibilante é provável chuva?,sim
birds_long.wav,Isso é interno?,não
Shaking Gate.wav,O som acelera e diminui a velocidade?,sim
